policy_id,termination_cause,episode_count
context_only_without_memory,hard_failure,60
context_only_without_memory,no_viable_primitive,29
context_only_without_memory,terminal_useful,11
context_plus_memory_lambda_0_5,hard_failure,60
context_plus_memory_lambda_0_5,no_viable_primitive,29
context_plus_memory_lambda_0_5,terminal_useful,11
context_plus_memory_lambda_0_8,hard_failure,60
context_plus_memory_lambda_0_8,no_viable_primitive,29
context_plus_memory_lambda_0_8,terminal_useful,11
context_plus_memory_lambda_0_95,hard_failure,60
context_plus_memory_lambda_0_95,no_viable_primitive,29
context_plus_memory_lambda_0_95,terminal_useful,11
no_memory_baseline,hard_failure,60
no_memory_baseline,no_viable_primitive,29
no_memory_baseline,terminal_useful,11
static_map_baseline,hard_failure,60
static_map_baseline,no_viable_primitive,29
static_map_baseline,terminal_useful,11
