episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,governor_config_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,episode_counted_for_claim,primitive_count,episode_duration_s,continuation_valid,episode_terminal_useful,hard_failure,termination_cause,no_viable_primitive,x_y_terminal,governor_rejection_count,prediction_actual_agreement_rate,belief_update_count_before,belief_update_count_after,observed_lift_evidence_m_s,energy_residual_m,lift_dwell_time_s,minimum_wall_margin_m,floor_margin_m,ceiling_margin_m,minimum_speed_m_s,claim_status
v49_r005_no_memory_baseline_p00000_rep00,0,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,no_memory_baseline,v410_cfg_004_b0.05_h0.7_tb0,0.0,False,False,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_static_map_baseline_p00000_rep00,1,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,static_map_baseline,v410_cfg_004_b0.05_h0.7_tb0,0.8,True,False,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_context_only_without_memory_p00000_rep00,2,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,context_only_without_memory,v410_cfg_004_b0.05_h0.7_tb0,0.0,False,False,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_context_plus_memory_lambda_0_5_p00000_rep00,3,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,context_plus_memory_lambda_0_5,v410_cfg_004_b0.05_h0.7_tb0,0.5,True,True,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,1,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_context_plus_memory_lambda_0_8_p00000_rep00,4,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,context_plus_memory_lambda_0_8,v410_cfg_004_b0.05_h0.7_tb0,0.8,True,True,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,1,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_context_plus_memory_lambda_0_95_p00000_rep00,5,0,0,v410_run005_seed00915_r00_e00000,915011,1830017,context_plus_memory_lambda_0_95,v410_cfg_004_b0.05_h0.7_tb0,0.95,True,True,W3,w3_randomised_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,1,0.00018659338099545934,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r005_no_memory_baseline_p00001_rep00,6,1,0,v410_run005_seed00915_r00_e00001,915048,1830058,no_memory_baseline,v410_cfg_004_b0.05_h0.7_tb0,0.0,False,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.06666977443059392,-1.407540134013997,0.27999999999999997,0.12375093699136963,-0.06900730680384365,1.7614671727898465,6.79066781773205,simulation_only_paired_full_loop_validation_episode
v49_r005_static_map_baseline_p00001_rep00,7,1,0,v410_run005_seed00915_r00_e00001,915048,1830058,static_map_baseline,v410_cfg_004_b0.05_h0.7_tb0,0.8,True,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.06666977443059392,-1.407540134013997,0.27999999999999997,0.12375093699136963,-0.06900730680384365,1.7614671727898465,6.79066781773205,simulation_only_paired_full_loop_validation_episode
v49_r005_context_only_without_memory_p00001_rep00,8,1,0,v410_run005_seed00915_r00_e00001,915048,1830058,context_only_without_memory,v410_cfg_004_b0.05_h0.7_tb0,0.0,False,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.06666977443059392,-1.407540134013997,0.27999999999999997,0.12375093699136963,-0.06900730680384365,1.7614671727898465,6.79066781773205,simulation_only_paired_full_loop_validation_episode
v49_r005_context_plus_memory_lambda_0_5_p00001_rep00,9,1,0,v410_run005_seed00915_r00_e00001,915048,1830058,context_plus_memory_lambda_0_5,v410_cfg_004_b0.05_h0.7_tb0,0.5,True,True,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,1,2,0.06666977443059392,-1.407540134013997,0.27999999999999997,0.12375093699136963,-0.06900730680384365,1.7614671727898465,6.79066781773205,simulation_only_paired_full_loop_validation_episode
