event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
1,2,Aileron_R,0,0,0,0,0,0.7,0,0,8.2198492,8.8198492,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
2,2,Aileron_R,0,0.7,0,0,0,0,0,0,8.8198492,9.4198492,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
3,2,Aileron_R,0,0,0,0,0,-0.7,0,0,9.4198492,10.0198492,2,1,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
4,2,Aileron_R,0,-0.7,0,0,0,0,0,0,10.0198492,10.6198492,2,1,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
5,4,Elevator,0,0,0,0,0,0,0,0.7,10.6198492,11.2198492,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
6,4,Elevator,0,0,0,0.7,0,0,0,0,11.2198492,11.8198492,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
7,4,Elevator,0,0,0,0,0,0,0,-0.7,11.8198492,12.4198492,2,1,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
8,4,Elevator,0,0,0,-0.7,0,0,0,0,12.4198492,13.0198492,2,1,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
9,1,Aileron_L,0,0,0,0,0.7,0,0,0,13.0198492,13.6198492,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
10,1,Aileron_L,0.7,0,0,0,0,0,0,0,13.6198492,14.2198492,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
11,1,Aileron_L,0,0,0,0,-0.7,0,0,0,14.2198492,14.8198492,2,1,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
12,1,Aileron_L,-0.7,0,0,0,0,0,0,0,14.8198492,15.4198492,2,1,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
13,3,Rudder,0,0,0,0,0,0,0.7,0,15.4198492,16.0198492,2,1,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
14,3,Rudder,0,0,0.7,0,0,0,0,0,16.0198492,16.6198492,2,1,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
15,3,Rudder,0,0,0,0,0,0,-0.7,0,16.6198492,17.2198492,2,1,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
16,3,Rudder,0,0,-0.7,0,0,0,0,0,17.2198492,17.8198492,2,1,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
17,3,Rudder,0,0,0,0,0,0,-0.7,0,17.8198492,18.4198492,2,2,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
18,3,Rudder,0,0,-0.7,0,0,0,0,0,18.4198492,19.0198492,2,2,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
19,3,Rudder,0,0,0,0,0,0,0.7,0,19.0198492,19.6198492,2,2,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
20,3,Rudder,0,0,0.7,0,0,0,0,0,19.6198492,20.2198492,2,2,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
21,2,Aileron_R,0,0,0,0,0,-0.7,0,0,20.2198492,20.8198492,2,2,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
22,2,Aileron_R,0,-0.7,0,0,0,0,0,0,20.8198492,21.4198492,2,2,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
23,2,Aileron_R,0,0,0,0,0,0.7,0,0,21.4198492,22.0198492,2,2,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
24,2,Aileron_R,0,0.7,0,0,0,0,0,0,22.0198492,22.6198492,2,2,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
25,1,Aileron_L,0,0,0,0,-0.7,0,0,0,22.6198492,23.2198492,2,2,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
26,1,Aileron_L,-0.7,0,0,0,0,0,0,0,23.2198492,23.8198492,2,2,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
27,1,Aileron_L,0,0,0,0,0.7,0,0,0,23.8198492,24.4198492,2,2,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
28,1,Aileron_L,0.7,0,0,0,0,0,0,0,24.4198492,25.0198492,2,2,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
29,4,Elevator,0,0,0,0,0,0,0,-0.7,25.0198492,25.6198492,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
30,4,Elevator,0,0,0,-0.7,0,0,0,0,25.6198492,26.2198492,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
31,4,Elevator,0,0,0,0,0,0,0,0.7,26.2198492,26.8198492,2,2,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
32,4,Elevator,0,0,0,0.7,0,0,0,0,26.8198492,27.4198492,2,2,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
33,2,Aileron_R,0,0,0,0,0,0.7,0,0,27.4198492,28.0198492,2,3,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
34,2,Aileron_R,0,0.7,0,0,0,0,0,0,28.0198492,28.6198492,2,3,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
35,2,Aileron_R,0,0,0,0,0,-0.7,0,0,28.6198492,29.2198492,2,3,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
36,2,Aileron_R,0,-0.7,0,0,0,0,0,0,29.2198492,29.8198492,2,3,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
37,1,Aileron_L,0,0,0,0,0.7,0,0,0,29.8198492,30.4198492,2,3,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
38,1,Aileron_L,0.7,0,0,0,0,0,0,0,30.4198492,31.0198492,2,3,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
39,1,Aileron_L,0,0,0,0,-0.7,0,0,0,31.0198492,31.6198492,2,3,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
40,1,Aileron_L,-0.7,0,0,0,0,0,0,0,31.6198492,32.2198492,2,3,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
41,4,Elevator,0,0,0,0,0,0,0,0.7,32.2198492,32.8198492,2,3,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
42,4,Elevator,0,0,0,0.7,0,0,0,0,32.8198492,33.4198492,2,3,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
43,4,Elevator,0,0,0,0,0,0,0,-0.7,33.4198492,34.0198492,2,3,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
44,4,Elevator,0,0,0,-0.7,0,0,0,0,34.0198492,34.6198492,2,3,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
45,3,Rudder,0,0,0,0,0,0,0.7,0,34.6198492,35.2198492,2,3,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
46,3,Rudder,0,0,0.7,0,0,0,0,0,35.2198492,35.8198492,2,3,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
47,3,Rudder,0,0,0,0,0,0,-0.7,0,35.8198492,36.4198492,2,3,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
48,3,Rudder,0,0,-0.7,0,0,0,0,0,36.4198492,37.0198492,2,3,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
49,1,Aileron_L,0,0,0,0,-0.7,0,0,0,37.0198492,37.6198492,2,4,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
50,1,Aileron_L,-0.7,0,0,0,0,0,0,0,37.6198492,38.2198492,2,4,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
51,1,Aileron_L,0,0,0,0,0.7,0,0,0,38.2198492,38.8198492,2,4,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
52,1,Aileron_L,0.7,0,0,0,0,0,0,0,38.8198492,39.4198492000001,2,4,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
53,3,Rudder,0,0,0,0,0,0,-0.7,0,39.4198492000001,40.0198492000001,2,4,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
54,3,Rudder,0,0,-0.7,0,0,0,0,0,40.0198492000001,40.6198492000001,2,4,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
55,3,Rudder,0,0,0,0,0,0,0.7,0,40.6198492000001,41.2198492000001,2,4,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
56,3,Rudder,0,0,0.7,0,0,0,0,0,41.2198492000001,41.8198492000001,2,4,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
57,2,Aileron_R,0,0,0,0,0,-0.7,0,0,41.8198492000001,42.4198492000001,2,4,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
58,2,Aileron_R,0,-0.7,0,0,0,0,0,0,42.4198492000001,43.0198492000001,2,4,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
