episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,governor_config_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,episode_counted_for_claim,primitive_count,episode_duration_s,continuation_valid,episode_terminal_useful,hard_failure,termination_cause,no_viable_primitive,x_y_terminal,governor_rejection_count,prediction_actual_agreement_rate,belief_update_count_before,belief_update_count_after,observed_lift_evidence_m_s,energy_residual_m,lift_dwell_time_s,minimum_wall_margin_m,floor_margin_m,ceiling_margin_m,minimum_speed_m_s,claim_status
v49_r003_no_memory_baseline_p00000_rep00,0,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,no_memory_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_static_map_baseline_p00000_rep00,1,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,static_map_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.8,True,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_context_only_without_memory_p00000_rep00,2,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,context_only_without_memory,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_5_p00000_rep00,3,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,context_plus_memory_lambda_0_5,v410_cfg_002_b0.05_h0.72_tb0,0.5,True,True,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_8_p00000_rep00,4,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,context_plus_memory_lambda_0_8,v410_cfg_002_b0.05_h0.72_tb0,0.8,True,True,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_95_p00000_rep00,5,0,0,v410_run003_seed00713_r00_e00000,713011,1426017,context_plus_memory_lambda_0_95,v410_cfg_002_b0.05_h0.72_tb0,0.95,True,True,W3,w3_randomised_four,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,0.173876029146268,-0.5815378038456125,0.6000000000000002,0.055540423782878046,0.797139362880387,1.6633786487987683,5.317637304017931,simulation_only_paired_full_loop_validation_episode
v49_r003_no_memory_baseline_p00001_rep00,6,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,no_memory_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_static_map_baseline_p00001_rep00,7,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,static_map_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.8,True,False,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_context_only_without_memory_p00001_rep00,8,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,context_only_without_memory,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_5_p00001_rep00,9,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,context_plus_memory_lambda_0_5,v410_cfg_002_b0.05_h0.72_tb0,0.5,True,True,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_8_p00001_rep00,10,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,context_plus_memory_lambda_0_8,v410_cfg_002_b0.05_h0.72_tb0,0.8,True,True,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_95_p00001_rep00,11,1,0,v410_run003_seed00713_r00_e00001,713048,1426058,context_plus_memory_lambda_0_95,v410_cfg_002_b0.05_h0.72_tb0,0.95,True,True,W0,dry_air,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r003_no_memory_baseline_p00002_rep00,12,2,0,v410_run003_seed00713_r00_e00002,713085,1426099,no_memory_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W1,gaussian_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,-0.01032195130501856,-1.4432273142690286,0.0,0.1362337128210036,0.05013086969371383,1.6066418160372575,3.6396791428927884,simulation_only_paired_full_loop_validation_episode
v49_r003_static_map_baseline_p00002_rep00,13,2,0,v410_run003_seed00713_r00_e00002,713085,1426099,static_map_baseline,v410_cfg_002_b0.05_h0.72_tb0,0.8,True,False,W1,gaussian_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,-0.01032195130501856,-1.4432273142690286,0.0,0.1362337128210036,0.05013086969371383,1.6066418160372575,3.6396791428927884,simulation_only_paired_full_loop_validation_episode
v49_r003_context_only_without_memory_p00002_rep00,14,2,0,v410_run003_seed00713_r00_e00002,713085,1426099,context_only_without_memory,v410_cfg_002_b0.05_h0.72_tb0,0.0,False,False,W1,gaussian_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,-0.01032195130501856,-1.4432273142690286,0.0,0.1362337128210036,0.05013086969371383,1.6066418160372575,3.6396791428927884,simulation_only_paired_full_loop_validation_episode
v49_r003_context_plus_memory_lambda_0_5_p00002_rep00,15,2,0,v410_run003_seed00713_r00_e00002,713085,1426099,context_plus_memory_lambda_0_5,v410_cfg_002_b0.05_h0.72_tb0,0.5,True,True,W1,gaussian_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,2,3,-0.01032195130501856,-1.4432273142690286,0.0,0.1362337128210036,0.05013086969371383,1.6066418160372575,3.6396791428927884,simulation_only_paired_full_loop_validation_episode
