fan_branch,primitive_family,paired_sample_key,has_W0,has_W1,w1_scheduled_independent_of_w0_success
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000001,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000002,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000003,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000004,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000005,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000006,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000007,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000008,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000009,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000010,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000011,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000012,True,True,True
four_fan_branch,lift_dwell_arc,fg_pair_20260522_four_fan_branch_000013,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000000,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000001,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000002,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000003,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000004,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000005,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000006,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000007,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000008,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000009,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000010,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000011,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000012,True,True,True
four_fan_branch,lift_entry,fg_pair_20260522_four_fan_branch_000013,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000000,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000001,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000002,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000003,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000004,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000005,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000006,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000007,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000008,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000009,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000010,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000011,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000012,True,True,True
four_fan_branch,mild_coordinated_turn_left,fg_pair_20260522_four_fan_branch_000013,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000000,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000001,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000002,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000003,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000004,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000005,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000006,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000007,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000008,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000009,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000010,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000011,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000012,True,True,True
four_fan_branch,mild_coordinated_turn_right,fg_pair_20260522_four_fan_branch_000013,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000000,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000001,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000002,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000003,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000004,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000005,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000006,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000007,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000008,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000009,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000010,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000011,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000012,True,True,True
four_fan_branch,recovery,fg_pair_20260522_four_fan_branch_000013,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,energy_retaining_bank,fg_pair_20260521_single_fan_branch_000014,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,glide,fg_pair_20260521_single_fan_branch_000014,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,lift_dwell_arc,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,lift_entry,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,mild_coordinated_turn_left,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,mild_coordinated_turn_right,fg_pair_20260521_single_fan_branch_000013,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000000,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000001,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000002,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000003,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000004,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000005,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000006,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000007,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000008,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000009,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000010,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000011,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000012,True,True,True
single_fan_branch,recovery,fg_pair_20260521_single_fan_branch_000013,True,True,True
