scenario_index,scenario_name,hold_seconds,command_dt_seconds,surface_index,surface_name,command_level_norm,lookup_deflection_deg,lookup_std_deg,lookup_min_deg,lookup_max_deg,valid_hold_count
5,fine_deadband,2,0.02,3,Rudder,0.8,-5.11398288300465,9.2583509556828,-19.9958114280782,-3.01290723613499,3
5,fine_deadband,2,0.02,3,Rudder,1,-11.9337079848138,8.24796438223255,-17.7658995304756,-6.10151643915207,2
5,fine_deadband,2,0.02,4,Elevator,-1,-0.425761532335149,0.124518782588839,-0.51380960788881,-0.337713456781487,2
5,fine_deadband,2,0.02,4,Elevator,-0.8,-0.444893238145846,0.0419383297655294,-0.479417315214005,-0.389265538587276,4
5,fine_deadband,2,0.02,4,Elevator,-0.6,-0.575988481127675,0.145595142941924,-0.736004522766851,-0.388197291791386,4
5,fine_deadband,2,0.02,4,Elevator,-0.45,-0.465474384506327,0.0951750423069079,-0.619132354936419,-0.403079671792612,4
5,fine_deadband,2,0.02,4,Elevator,-0.3,-0.298348554588251,0.228530031537555,-0.504925189511636,-0.0517544837102682,4
5,fine_deadband,2,0.02,4,Elevator,-0.2,-0.286261390546715,0.207686056558291,-0.483928588690996,-0.0523300020458843,4
5,fine_deadband,2,0.02,4,Elevator,-0.15,-0.218692020864635,0.0504269079740583,-0.264597690625268,-0.151365277934838,4
5,fine_deadband,2,0.02,4,Elevator,-0.1,-0.00163291686757175,0.0842036573905976,-0.0876444736448105,0.0928093516840018,4
5,fine_deadband,2,0.02,4,Elevator,-0.05,-0.104876647001091,0.194514567206602,-0.17461863184723,0.250518515028629,4
5,fine_deadband,2,0.02,4,Elevator,0,-2.77555756156289e-17,0.218277229107295,-0.218448791522133,0.322946412041635,8
5,fine_deadband,2,0.02,4,Elevator,0.05,0.30117797070806,0.155122128010835,0.0119870720930159,0.348834382003343,4
5,fine_deadband,2,0.02,4,Elevator,0.1,0.254960189978072,0.0637543538976559,0.233391213026629,0.370722518914285,4
5,fine_deadband,2,0.02,4,Elevator,0.15,0.315355450836474,0.177647779629513,0.152067938004997,0.467561509119666,4
5,fine_deadband,2,0.02,4,Elevator,0.2,0.272208406694403,0.0555008886618616,0.165772091479675,0.284119339611917,4
5,fine_deadband,2,0.02,4,Elevator,0.3,0.434073222590149,0.0875514062627369,0.33383768364893,0.511169856291218,4
5,fine_deadband,2,0.02,4,Elevator,0.45,0.545873840910092,0.0776509790334568,0.425510778562363,0.604667688984637,4
5,fine_deadband,2,0.02,4,Elevator,0.6,0.759797166584722,0.25291883616244,0.52411484878309,0.98206926562516,4
5,fine_deadband,2,0.02,4,Elevator,0.8,1.14552021789599,0.0363347940543111,1.11403417487467,1.18800038071561,4
5,fine_deadband,2,0.02,4,Elevator,1,1.19845886801324,0.0253559073160036,1.18052953400696,1.21638820201953,2
