compact_library_id,library_size_case_id,library_size_human_label,selection_policy,primitive_variant_id,transition_object_id,primitive_id,entry_role,transition_entry_class,controller_id,local_lqr_speed_bin_id,local_lqr_reference_speed_m_s,reference_state_vector,reference_command_vector,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,Q_weight_json,R_weight_json,K_gain_checksum,augmented_A_checksum,augmented_B_checksum,augmented_gain_checksum,source_w01_root,source_w2_root,source_w3_root,cluster_id,representative_rank,representative_score,representative_score_energy_term_source,selection_algorithm,medoid_selection_reason,coverage_marginal_gain,coverage_worst_case,coverage_breadth,medoid_quality_score,medoid_design_centrality,medoid_distance_to_group_center,medoid_redundancy_penalty,selection_rank_order,robustness_profile_version,robustness_coverage_labels_json,robustness_coverage_rates_json,robustness_terminal_rates_json,robustness_hard_failure_rates_json,robustness_environment_modes_seen,robustness_start_families_seen,robustness_active_fan_counts_seen,robustness_speed_bins_seen,continuation_valid_count,continuation_valid_rate,transition_chain_compatible_count,transition_chain_compatible_rate,transition_success_probability,transition_exit_classes_seen,transition_pairs_seen,episode_terminal_useful_count,episode_terminal_useful_rate,hard_failure_count,hard_failure_rate,expected_energy_residual_m,expected_updraft_gain_proxy_m,expected_positive_specific_energy_gain_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,w3_environment_modes_seen,w3_variant_status,claim_status,mutation_status
v53lib_super_light_cluster_63b40d610c32,super_light_cluster,super-light clustering and merging,coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry,primvar_energy_retaining_bank_transition_object_673efd961290,primvar_energy_retaining_bank_transition_object_673efd961290__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_2a68e29eb404,speed_bin_7p5_m_s,7.499999999999999,"[0.0,0.0,0.0,0.15000000000000002,-0.09193978585921435,0.0,7.488799706034377,0.0,0.40973035389072937,0.0,0.0,0.0,0.0,-0.008985397011923286,0.0]","[0.0,-0.008985397011923286,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":1.4125090445804551,""q_rates"":0.5296908917176707,""q_surfaces"":0.09064445853571992,""q_velocity"":0.27189501825604906,""reference_bank_bias_rad"":-0.009999999999999995,""reference_pitch_bias_rad"":-0.028333333333333335,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6042963902381329,""r_elevator"":0.5438667512143196,""r_rudder"":0.40778499947310715}",7ae2fbcfa28e2304724a49935a9515e35c46b7043807b389b9be915396fcb82d,4f5d934bc3d60a8e43ce0972e21274db050873d01b035e2087f8e340a1eb6746,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,8fea049371d3b03c1797ad49efdc050f03206e54374244513729c5a197b5abaf,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/904,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/020,super_light_cluster_energy_retaining_bank_boundary_near_r000,0,0.95081,updraft_gain_proxy_mean_m_not_net_energy_residual,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0.08952380952380953,0.0,0.08952380952380953,0.2277124134991362,0.1286137496630127,4.553983983652028,0.0,0,coverage_behavior_qr_medoid_profile_v1,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4"",""speed_bin:speed_bin_2p0_m_s"",""speed_bin:speed_bin_2p5_m_s"",""speed_bin:speed_bin_3p0_m_s"",""speed_bin:speed_bin_3p5_m_s"",""speed_bin:speed_bin_4p0_m_s"",""speed_bin:speed_bin_4p5_m_s"",""speed_bin:speed_bin_5p0_m_s"",""speed_bin:speed_bin_5p5_m_s"",""speed_bin:speed_bin_6p0_m_s"",""speed_bin:speed_bin_6p5_m_s"",""speed_bin:speed_bin_7p0_m_s"",""speed_bin:speed_bin_7p5_m_s"",""speed_bin:speed_bin_8p0_m_s"",""transition:boundary_near->boundary_near"",""transition:boundary_near->hard_failure"",""transition:boundary_near->safe_terminal"",""transition:inflight_stable->boundary_near"",""transition:inflight_stable->inflight_stable"",""transition:inflight_stable->recoverable_degraded"",""transition:launch_gate->boundary_near"",""transition:launch_gate->inflight_stable"",""transition:launch_gate->post_launch_degraded"",""transition:recoverable_degraded->boundary_near"",""transition:recoverable_degraded->inflight_stable"",""transition:recoverable_degraded->recoverable_degraded"",""exit:boundary_near"",""exit:hard_failure"",""exit:inflight_stable"",""exit:post_launch_degraded"",""exit:recoverable_degraded"",""exit:safe_terminal""]","[0.55,0.45,0.5,0.0,0.0,0.0,0.0,0.56,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.55,0.45,0.5,0.0,0.0,0.0,0.0,0.56,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",w3_randomised_four;w3_randomised_single,inflight_boundary_near,1;2;3;4,speed_bin_7p5_m_s,18,0.45,20,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,20,0.5,2,0.05,-0.0320707572470927,0.0,0.0046855775440998206,0.027,-0.0720603716130856,0.5049650383179497,0.7971669948028199,0.43,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,route_usable,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_transition_object_no_Q_R_K_reference_horizon_ID_mutation
v53lib_super_light_cluster_a9653a0a65d0,super_light_cluster,super-light clustering and merging,coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry,primvar_energy_retaining_bank_transition_object_59e7d8972aac,primvar_energy_retaining_bank_transition_object_59e7d8972aac__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_10416305f7af,speed_bin_4p5_m_s,4.5,"[0.0,0.0,0.0,0.16,0.05045342338752222,0.0,4.4580024038084805,0.0,0.6133633243337958,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}",a6dbf1ee98263844412d47aadb6a5c5b80eeb46a89f1abfda554b6936d8cbdf2,4ad3ab5e902cad25034db9a655f3937276a05148421391a3e0edd469161fdaa1,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,7f066f56c69207c9057b9a4ee1bb942b677f9ed999f7f81ce0df7827862c8299,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/904,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/020,super_light_cluster_energy_retaining_bank_boundary_near_r001,1,0.9508850000000001,updraft_gain_proxy_mean_m_not_net_energy_residual,coverage_aware_behavior_qr_medoid_greedy_marginal,greedy_speed_bin_marginal_coverage_medoid,0.011904761904761904,0.0,0.08952380952380953,0.22244790604270598,0.0756695366175362,11.114661779521509,0.14477245252146653,1,coverage_behavior_qr_medoid_profile_v1,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4"",""speed_bin:speed_bin_2p0_m_s"",""speed_bin:speed_bin_2p5_m_s"",""speed_bin:speed_bin_3p0_m_s"",""speed_bin:speed_bin_3p5_m_s"",""speed_bin:speed_bin_4p0_m_s"",""speed_bin:speed_bin_4p5_m_s"",""speed_bin:speed_bin_5p0_m_s"",""speed_bin:speed_bin_5p5_m_s"",""speed_bin:speed_bin_6p0_m_s"",""speed_bin:speed_bin_6p5_m_s"",""speed_bin:speed_bin_7p0_m_s"",""speed_bin:speed_bin_7p5_m_s"",""speed_bin:speed_bin_8p0_m_s"",""transition:boundary_near->boundary_near"",""transition:boundary_near->hard_failure"",""transition:boundary_near->safe_terminal"",""transition:inflight_stable->boundary_near"",""transition:inflight_stable->inflight_stable"",""transition:inflight_stable->recoverable_degraded"",""transition:launch_gate->boundary_near"",""transition:launch_gate->inflight_stable"",""transition:launch_gate->post_launch_degraded"",""transition:recoverable_degraded->boundary_near"",""transition:recoverable_degraded->inflight_stable"",""transition:recoverable_degraded->recoverable_degraded"",""exit:boundary_near"",""exit:hard_failure"",""exit:inflight_stable"",""exit:post_launch_degraded"",""exit:recoverable_degraded"",""exit:safe_terminal""]","[0.55,0.45,0.5,0.0,0.0,0.0,0.0,0.56,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.55,0.45,0.5,0.0,0.0,0.0,0.0,0.56,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",w3_randomised_four;w3_randomised_single,inflight_boundary_near,1;2;3;4,speed_bin_4p5_m_s,18,0.45,20,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,20,0.5,2,0.05,-0.0313127604442292,0.0,0.004818021898776318,0.0295,-0.0720820637507619,0.5058846423992753,0.7971669948028199,0.6900000000000001,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,route_usable,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_transition_object_no_Q_R_K_reference_horizon_ID_mutation
v53lib_super_light_cluster_8b0db2e79081,super_light_cluster,super-light clustering and merging,coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry,primvar_energy_retaining_bank_transition_object_77eee2c97688,primvar_energy_retaining_bank_transition_object_77eee2c97688__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_2591b27461ba,speed_bin_3p5_m_s,3.5,"[0.0,0.0,0.0,0.22999999999999998,0.03745342338752222,0.0,3.467335202962152,0.0,0.47706036337073,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":2.9006226731430376,""q_rates"":0.7063541565272164,""q_surfaces"":0.5097312493413839,""q_velocity"":1.765636305725569,""reference_bank_bias_rad"":0.06999999999999999,""reference_pitch_bias_rad"":0.0049999999999999975,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.220673406908459,""r_elevator"":1.986060662176131,""r_rudder"":1.4891253129020634}",9ce8714b181643c3145d14e2ea5a72dfe8a0eec68443e44da57f696b02522c75,05a0875ef9c591e85119d8eedc262de1b628a67b8f5e379aa700ae1875e54222,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,60d72ec9151144e11ebd526126d36b3d4b2f2b47a0f28226849aa70d2269c115,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/904,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/020,super_light_cluster_energy_retaining_bank_boundary_near_r002,2,0.8256000000000002,updraft_gain_proxy_mean_m_not_net_energy_residual,coverage_aware_behavior_qr_medoid_greedy_marginal,greedy_speed_bin_marginal_coverage_medoid,0.010714285714285714,0.0,0.07904761904761906,0.16782638622330662,0.13034567613284434,4.652402978810636,0.5142507012774672,2,coverage_behavior_qr_medoid_profile_v1,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4"",""speed_bin:speed_bin_2p0_m_s"",""speed_bin:speed_bin_2p5_m_s"",""speed_bin:speed_bin_3p0_m_s"",""speed_bin:speed_bin_3p5_m_s"",""speed_bin:speed_bin_4p0_m_s"",""speed_bin:speed_bin_4p5_m_s"",""speed_bin:speed_bin_5p0_m_s"",""speed_bin:speed_bin_5p5_m_s"",""speed_bin:speed_bin_6p0_m_s"",""speed_bin:speed_bin_6p5_m_s"",""speed_bin:speed_bin_7p0_m_s"",""speed_bin:speed_bin_7p5_m_s"",""speed_bin:speed_bin_8p0_m_s"",""transition:boundary_near->boundary_near"",""transition:boundary_near->hard_failure"",""transition:boundary_near->safe_terminal"",""transition:inflight_stable->boundary_near"",""transition:inflight_stable->inflight_stable"",""transition:inflight_stable->recoverable_degraded"",""transition:launch_gate->boundary_near"",""transition:launch_gate->inflight_stable"",""transition:launch_gate->post_launch_degraded"",""transition:recoverable_degraded->boundary_near"",""transition:recoverable_degraded->inflight_stable"",""transition:recoverable_degraded->recoverable_degraded"",""exit:boundary_near"",""exit:hard_failure"",""exit:inflight_stable"",""exit:post_launch_degraded"",""exit:recoverable_degraded"",""exit:safe_terminal""]","[0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",w3_randomised_four;w3_randomised_single,inflight_boundary_near,1;2;3;4,speed_bin_3p5_m_s,18,0.45,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,18,0.45,4,0.1,-0.0324239943909525,0.0,0.004627502707526562,0.02,-0.0720917012455624,0.5050077273179246,0.7971669948028199,0.78,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,route_usable,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_transition_object_no_Q_R_K_reference_horizon_ID_mutation
v53lib_super_light_cluster_6f25e9f3cc37,super_light_cluster,super-light clustering and merging,coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry,primvar_energy_retaining_bank_transition_object_af4f0a8b4f10,primvar_energy_retaining_bank_transition_object_af4f0a8b4f10__entry_boundary_near,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_5dd9b1f7db34,speed_bin_7p0_m_s,7.0,"[0.0,0.0,0.0,0.2366666666666667,-0.06643579692058064,0.0,6.986238655337723,0.0,0.4387134037899517,0.0,0.0,0.0,0.0,-0.010271096863337612,0.0]","[0.0,-0.010271096863337612,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.956501251608254,""q_rates"":1.0877335024286392,""q_surfaces"":0.06797375456401226,""q_velocity"":0.41869835091591984,""reference_bank_bias_rad"":0.07666666666666667,""reference_pitch_bias_rad"":-0.018333333333333337,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.5482967479793466,""r_elevator"":4.078425273840736,""r_rudder"":0.5437900365120981}",4f23dbe209642dedc749de74b97abab889d047be88b478f113a838c11f7403a8,4960290c4b345812154abcd290cb6390b92798e13de9f1681834a40c6dd42943,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,e1fe94d0bbd20e52106c04d6d7ee0c75358f2a3c367b6ccf5aff0dc02a9b51cf,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/904,,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/020,super_light_cluster_energy_retaining_bank_boundary_near_r003,3,0.8256150000000002,updraft_gain_proxy_mean_m_not_net_energy_residual,coverage_aware_behavior_qr_medoid_greedy_marginal,greedy_speed_bin_marginal_coverage_medoid,0.010714285714285714,0.0,0.07904761904761906,0.1670609760113837,0.12263174631738022,5.246954134758283,0.5653282370092354,3,coverage_behavior_qr_medoid_profile_v1,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4"",""speed_bin:speed_bin_2p0_m_s"",""speed_bin:speed_bin_2p5_m_s"",""speed_bin:speed_bin_3p0_m_s"",""speed_bin:speed_bin_3p5_m_s"",""speed_bin:speed_bin_4p0_m_s"",""speed_bin:speed_bin_4p5_m_s"",""speed_bin:speed_bin_5p0_m_s"",""speed_bin:speed_bin_5p5_m_s"",""speed_bin:speed_bin_6p0_m_s"",""speed_bin:speed_bin_6p5_m_s"",""speed_bin:speed_bin_7p0_m_s"",""speed_bin:speed_bin_7p5_m_s"",""speed_bin:speed_bin_8p0_m_s"",""transition:boundary_near->boundary_near"",""transition:boundary_near->hard_failure"",""transition:boundary_near->safe_terminal"",""transition:inflight_stable->boundary_near"",""transition:inflight_stable->inflight_stable"",""transition:inflight_stable->recoverable_degraded"",""transition:launch_gate->boundary_near"",""transition:launch_gate->inflight_stable"",""transition:launch_gate->post_launch_degraded"",""transition:recoverable_degraded->boundary_near"",""transition:recoverable_degraded->inflight_stable"",""transition:recoverable_degraded->recoverable_degraded"",""exit:boundary_near"",""exit:hard_failure"",""exit:inflight_stable"",""exit:post_launch_degraded"",""exit:recoverable_degraded"",""exit:safe_terminal""]","[0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",w3_randomised_four;w3_randomised_single,inflight_boundary_near,1;2;3;4,speed_bin_7p0_m_s,18,0.45,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,18,0.45,4,0.1,-0.0319345602147087,0.0,0.004767039550356237,0.0205,-0.0723218645115428,0.5061873340784177,0.7971669948028199,0.49,boundary_near_route_usable_low_hard_failure,w3_randomised_four;w3_randomised_single,route_usable,simulation_only_post_w3_library_size_case_representative,references_existing_frozen_transition_object_no_Q_R_K_reference_horizon_ID_mutation
