outer_case_index,environment_block_id,variation_audit_passed,glider_model_fixed,latency_model_fixed,actuator_model_fixed,mass_cg_inertia_surface_calibration_not_varied,full_w3_randomisation_exception,fan_layout_fixed_within_outer_case,active_fan_count_fixed_within_outer_case,updraft_parameter_noise_allowed,variation_policy,row_count
0,targeted_memory_opportunity_arena_wide_four_fan,True,True,True,True,True,False,True,True,False,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
1,targeted_memory_opportunity_arena_wide_four_fan,True,True,True,True,True,False,True,True,False,fixed_layout_count_and_plant_per_outer_case_parameter_noise_only,20
