library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,floor_or_ceiling_violation_rate,no_viable_primitive_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_episode_flight_time_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,exploration_changed_selection_rate
light_cluster,directional_3d_residual_memory_h30,30,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142877963562865,-0.0225954645537913,0.0,0.0,0.0225954645537913,0.1,7.5,7.5,0.1289434442273529,1,1,131,31,0.1796053020267749,0.0,0.0
light_cluster,no_memory_baseline,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142877963562865,-0.0225954645537913,0.0,0.0,0.0225954645537913,0.1,7.5,7.5,0.1289434442273529,1,1,131,0,1.0,0.0,0.0
no_cluster_no_merge,directional_3d_residual_memory_h10,10,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142306307845717,-0.0225992583355196,0.0,0.0,0.0225992583355196,0.1,7.5,7.5,0.1289434442273529,1,1,1070,11,0.3015113445777636,0.0,0.0
no_cluster_no_merge,directional_3d_residual_memory_h3,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142306307845717,-0.0225992583355196,0.0,0.0,0.0225992583355196,0.1,7.5,7.5,0.1289434442273529,1,1,1070,4,0.5,0.0,0.0
no_cluster_no_merge,directional_3d_residual_memory_h30,30,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142306307845717,-0.0225992583355196,0.0,0.0,0.0225992583355196,0.1,7.5,7.5,0.1289434442273529,1,1,1070,31,0.1796053020267749,0.0,0.0
no_cluster_no_merge,no_memory_baseline,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142306307845717,-0.0225992583355196,0.0,0.0,0.0225992583355196,0.1,7.5,7.5,0.1289434442273529,1,1,1070,0,1.0,0.0,0.0
super_light_cluster,directional_3d_residual_memory_h10,10,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142552460024062,-0.0225968836398835,0.0,0.0,0.0225968836398835,0.1,7.5,7.5,0.1289434442273529,1,1,239,11,0.3015113445777636,0.0,0.0
super_light_cluster,directional_3d_residual_memory_h3,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142552460024062,-0.0225968836398835,0.0,0.0,0.0225968836398835,0.1,7.5,7.5,0.1289434442273529,1,1,239,4,0.5,0.0,0.0
super_light_cluster,directional_3d_residual_memory_h30,30,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142552460024062,-0.0225968836398835,0.0,0.0,0.0225968836398835,0.1,7.5,7.5,0.1289434442273529,1,1,239,31,0.1796053020267749,0.0,0.0
super_light_cluster,no_memory_baseline,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142552460024062,-0.0225968836398835,0.0,0.0,0.0225968836398835,0.1,7.5,7.5,0.1289434442273529,1,1,239,0,1.0,0.0,0.0
