library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
balanced_cluster,energy_retaining_bank,boundary_near,launch_gate,4,0
balanced_cluster,energy_retaining_bank,inflight_stable,launch_gate,4,0
balanced_cluster,energy_retaining_bank,launch_gate,launch_gate,12,12
balanced_cluster,energy_retaining_bank,recoverable_degraded,launch_gate,4,0
balanced_cluster,glide,launch_gate,launch_gate,12,12
balanced_cluster,lift_dwell_arc,launch_gate,launch_gate,12,12
balanced_cluster,lift_entry,launch_gate,launch_gate,8,8
balanced_cluster,mild_turn_left,launch_gate,launch_gate,4,4
balanced_cluster,mild_turn_right,launch_gate,launch_gate,4,4
balanced_cluster,recovery,launch_gate,launch_gate,4,4
balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
heavy_cluster,energy_retaining_bank,boundary_near,launch_gate,4,0
heavy_cluster,energy_retaining_bank,inflight_stable,launch_gate,4,0
heavy_cluster,energy_retaining_bank,launch_gate,launch_gate,4,4
heavy_cluster,energy_retaining_bank,recoverable_degraded,launch_gate,4,0
heavy_cluster,glide,launch_gate,launch_gate,4,4
heavy_cluster,lift_dwell_arc,launch_gate,launch_gate,4,4
heavy_cluster,lift_entry,launch_gate,launch_gate,4,4
heavy_cluster,mild_turn_left,launch_gate,launch_gate,4,4
heavy_cluster,mild_turn_right,launch_gate,launch_gate,4,4
heavy_cluster,recovery,launch_gate,launch_gate,4,4
heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
light_cluster,energy_retaining_bank,boundary_near,launch_gate,4,0
light_cluster,energy_retaining_bank,inflight_stable,launch_gate,4,0
light_cluster,energy_retaining_bank,launch_gate,launch_gate,24,24
light_cluster,energy_retaining_bank,recoverable_degraded,launch_gate,4,0
light_cluster,glide,launch_gate,launch_gate,16,16
light_cluster,lift_dwell_arc,launch_gate,launch_gate,4,4
light_cluster,lift_entry,launch_gate,launch_gate,4,4
light_cluster,mild_turn_left,launch_gate,launch_gate,4,4
light_cluster,mild_turn_right,launch_gate,launch_gate,4,4
light_cluster,recovery,launch_gate,launch_gate,4,4
light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
no_cluster_no_merge,energy_retaining_bank,boundary_near,launch_gate,4,0
no_cluster_no_merge,energy_retaining_bank,inflight_stable,launch_gate,4,0
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,44,44
no_cluster_no_merge,energy_retaining_bank,recoverable_degraded,launch_gate,4,0
no_cluster_no_merge,glide,launch_gate,launch_gate,4,4
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,4,4
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,4,4
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,4,4
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,4,4
no_cluster_no_merge,recovery,launch_gate,launch_gate,4,4
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
super_light_cluster,energy_retaining_bank,boundary_near,launch_gate,4,0
super_light_cluster,energy_retaining_bank,inflight_stable,launch_gate,4,0
super_light_cluster,energy_retaining_bank,launch_gate,launch_gate,40,40
super_light_cluster,energy_retaining_bank,recoverable_degraded,launch_gate,4,0
super_light_cluster,glide,launch_gate,launch_gate,4,4
super_light_cluster,lift_dwell_arc,launch_gate,launch_gate,4,4
super_light_cluster,lift_entry,launch_gate,launch_gate,4,4
super_light_cluster,mild_turn_left,launch_gate,launch_gate,4,4
super_light_cluster,mild_turn_right,launch_gate,launch_gate,4,4
super_light_cluster,recovery,launch_gate,launch_gate,4,4
super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,4,4
