session_label,case_id,case_name,attempt_id,cancellation_reason,launch_gate_reason,trigger_source,speed_m_s,x_w_m,y_w_m,z_w_m,phi_deg,theta_deg,psi_deg,p_rad_s,q_rad_s,r_rad_s
20260602_225953,C0_neutral,Dry-air open-loop neutral glide characterisation,i001,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.739632355,1.3,2.178570117,1.677077492,-3.473353283,11.27117495,-12.51028126,0.02539383466,1.625952719,-1.520680726
20260602_225953,C0_neutral,Dry-air open-loop neutral glide characterisation,i002,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.659495835,1.3,2.112885502,1.585355195,5.557954863,-15.62542359,-5.381416781,-0.1833672518,-0.9428703693,-0.9445598298
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i001,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.606685848,1.3,2.039107008,1.615578015,2.444240567,5.39222703,-7.918778936,0.4106401929,1.348889722,-1.474344667
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i002,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.57576733,1.3,2.046540759,1.600300278,3.62794233,8.153686441,-5.039334603,0.4159242439,1.912522764,-1.078723551
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i003,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,6.338173594,1.3,2.120132547,1.435080658,0.9432518206,-16.48759662,6.696971082,0.6458040848,-0.8160698065,-0.04295073073
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i004,rejected_launch_attempt:y_w_outside_launch_gate,y_w_outside_launch_gate,crossed_plane_rejected,5.336005216,1.3,2.250632385,1.424373677,3.513506331,-23.55367471,-10.64573831,-0.4899895697,-1.391257592,-0.6034068342
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i005,rejected_launch_attempt:y_w_outside_launch_gate,y_w_outside_launch_gate,crossed_plane_rejected,4.331362705,1.3,2.245244435,2.087452822,-3.181197562,19.89409866,-1.268857539,0.8834978638,0.4772784069,-0.8605542639
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i006,rejected_launch_attempt:z_w_outside_launch_gate,z_w_outside_launch_gate,crossed_plane_rejected,4.832645158,1.3,2.068751854,1.869143537,-0.3372884819,14.60080538,6.546114714,0.4744482393,0.823961112,0.1578897865
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i007,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.569628304,1.3,2.116686511,1.522757363,0.7434840767,-14.39267697,-6.995186866,-0.2474212132,-0.9373024373,-1.228079307
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i008,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.506052349,1.3,2.173468114,1.742897686,-4.006908554,14.26045064,-6.408870047,-0.4903367282,1.745814457,-0.08595579022
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i009,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.347108086,1.3,2.113655122,1.558099099,8.551803295,-16.69801506,-7.142404493,-0.107120198,-1.58133816,-0.4246035675
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i010,rejected_launch_attempt:y_w_outside_launch_gate,y_w_outside_launch_gate,crossed_plane_rejected,5.308855164,1.3,2.260492446,1.564891347,-1.276927592,-5.90994388,-7.009460091,-0.1693842354,-0.1916617967,-0.9461722897
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i011,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.321669245,1.3,2.147476827,1.555744694,4.867877588,-19.04698423,-3.653937801,-0.2762883972,-1.591099014,-0.4053070281
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i012,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.665865561,1.3,2.133056843,1.51215493,-9.41567753,-15.48510988,-6.182878996,-0.7344030969,-0.9728866507,-0.6408687538
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i013,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.059748275,1.3,2.085594634,1.714106262,5.366164591,20.63697255,-12.01203041,-0.09338560486,1.698171643,-0.6673666355
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i014,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.644039314,1.3,2.109549526,1.57132022,-0.7735672691,5.597257881,-6.86534285,-0.07838565136,1.239283847,-1.022330767
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i015,rejected_launch_attempt:y_w_outside_launch_gate,y_w_outside_launch_gate,crossed_plane_rejected,5.749815267,1.3,2.220039559,1.586698441,6.859569448,1.81427385,-11.54695633,0.234467893,0.5976051772,-1.076110991
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i016,rejected_launch_attempt:pitch_outside_launch_gate,pitch_outside_launch_gate,crossed_plane_rejected,5.777656456,1.3,2.133320019,1.425329209,4.650712736,-28.13062338,-11.48007489,-0.2073722846,-2.41285994,-0.2908709877
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i017,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,5.95680231,1.3,2.131119816,1.634270957,-1.519664041,9.390323681,-8.756953344,-0.3261928674,1.297980824,-0.02450750327
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,i018,rejected_launch_attempt:pitch_rate_outside_launch_gate,pitch_rate_outside_launch_gate,crossed_plane_rejected,6.291144999,1.3,2.130116143,1.627219791,-3.627772744,10.1839062,-10.82354437,0.3405422518,1.66787235,-0.8157613754
