time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.16,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.18,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.2,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.22,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.24,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.26,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.28,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.3,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.32,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.34,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.36,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.38,0.11499999999999999,0.828,0.11499999999999999,0.11499999999999999,0.828,0.11499999999999999,0.04415683007545653,0.317929176543287,0.056199601914217405
0.4,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.42,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.44,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.46,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.48,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.5,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.52,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.54,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.56,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.58,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.6,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.62,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.64,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.66,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.68,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.7000000000000001,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.72,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.40249999999999997,0.43699999999999994,0.8049999999999999,0.15454890526409787,0.16779595428673483,0.3933972133995219
0.74,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.76,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.78,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.8,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.8200000000000001,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.84,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.86,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.88,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.9,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.92,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.9400000000000001,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.96,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
0.98,-0.253,-0.2875,-0.345,-0.253,-0.2875,-0.345,-0.11480775819618701,-0.1505346479845109,-0.21074850717831528
1.0,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.02,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.04,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.06,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.08,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.1,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.12,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.1400000000000001,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.16,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.18,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.2,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.22,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.24,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.26,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.28,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.3,0.0,-0.828,0.0,0.0,-0.828,0.0,0.0,-0.43353978619539146,0.0
1.32,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.34,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.36,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.3800000000000001,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.4000000000000001,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.42,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.44,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.46,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.48,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.5,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.52,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.54,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.56,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.58,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
1.6,0.0,-0.057499999999999996,0.0,0.0,-0.057499999999999996,0.0,0.0,-0.03010692959690218,0.0
