time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.14,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.16,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.18,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.2,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.22,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.24,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.26,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.28,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.3,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.32,0.1,0.72,0.1,0.1,0.72,0.1,0.038397243543875255,0.2764601535159018,0.04886921905584123
0.34,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.36,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.38,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.4,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.42,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.44,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.46,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.48,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.5,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.52,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.54,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.56,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.58,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.6,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.62,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.64,0.35,0.38,0.7,0.35,0.38,0.7,0.13439035240356337,0.14590952546672595,0.34208453339088857
0.66,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.68,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.7000000000000001,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.72,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.74,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.76,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.78,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.8,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.8200000000000001,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.84,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.86,-0.22,-0.25,-0.3,-0.22,-0.25,-0.3,-0.09983283321407564,-0.1308996938995747,-0.1832595714594046
0.88,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
0.9,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
0.92,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
0.9400000000000001,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
0.96,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
0.98,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.0,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.02,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.04,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.06,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.08,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.1,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.12,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.1400000000000001,0.0,-0.72,0.0,0.0,-0.72,0.0,0.0,-0.37699111843077515,0.0
1.16,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.18,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.2,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.22,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.24,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.26,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.28,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.3,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.32,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.34,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.36,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.3800000000000001,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
1.4000000000000001,0.0,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.026179938779914945,0.0
