time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.08,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.1,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.12,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.14,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.16,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.18,0.161,1.0,0.22999999999999998,0.161,1.0,0.22999999999999998,0.06181956210563916,0.3839724354387525,0.11239920382843481
0.2,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.22,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.24,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.26,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.28,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.3,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.32,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.34,0.6669999999999999,0.713,1.0,0.6669999999999999,0.713,1.0,0.2561096144376479,0.27377234646783055,0.4886921905584123
0.36,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.38,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.4,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.42,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.44,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.46,-0.5519999999999999,-0.22999999999999998,-0.713,-0.5519999999999999,-0.22999999999999998,-0.713,-0.25048965424622616,-0.12042771838760873,-0.43554691483518493
0.48,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.5,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.52,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.54,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.56,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.58,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.6,0.40249999999999997,-0.575,0.69,0.40249999999999997,-0.575,0.69,0.15454890526409787,-0.3010692959690218,0.33719761148530447
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
