primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
energy_retaining_bank,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,364
energy_retaining_bank,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,182
energy_retaining_bank,transition_object,boundary_near,safe_terminal,True,,414
energy_retaining_bank,transition_object,inflight_stable,boundary_near,True,,3088
energy_retaining_bank,transition_object,inflight_stable,inflight_stable,True,,548
energy_retaining_bank,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,204
energy_retaining_bank,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
energy_retaining_bank,transition_object,launch_gate,inflight_stable,True,,790
energy_retaining_bank,transition_object,launch_gate,post_launch_degraded,True,,1276
energy_retaining_bank,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,598
energy_retaining_bank,transition_object,recoverable_degraded,inflight_stable,True,,160
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,11
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,181
energy_retaining_bank,transition_object,recoverable_degraded,recoverable_degraded,True,,10
glide,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,364
glide,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,183
glide,transition_object,boundary_near,safe_terminal,True,,413
glide,transition_object,inflight_stable,boundary_near,True,,3089
glide,transition_object,inflight_stable,inflight_stable,True,,542
glide,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,209
glide,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
glide,transition_object,launch_gate,inflight_stable,True,,792
glide,transition_object,launch_gate,post_launch_degraded,True,,1274
glide,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,598
glide,transition_object,recoverable_degraded,inflight_stable,True,,157
glide,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,10
glide,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,187
glide,transition_object,recoverable_degraded,recoverable_degraded,True,,8
lift_dwell_arc,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,364
lift_dwell_arc,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,180
lift_dwell_arc,transition_object,boundary_near,safe_terminal,True,,416
lift_dwell_arc,transition_object,inflight_stable,boundary_near,True,,3089
lift_dwell_arc,transition_object,inflight_stable,inflight_stable,True,,555
lift_dwell_arc,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,196
lift_dwell_arc,transition_object,launch_gate,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,1774
lift_dwell_arc,transition_object,launch_gate,inflight_stable,True,,794
lift_dwell_arc,transition_object,launch_gate,post_launch_degraded,True,,1272
lift_dwell_arc,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,598
lift_dwell_arc,transition_object,recoverable_degraded,inflight_stable,True,,158
lift_dwell_arc,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,8
