stage_id,library_size_case_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,launch_capable_primitive_family_count,launch_capture_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_launch_capture_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_capture_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_boundary_near,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,0,3712,1088,0,0,0,3712,1088,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,0,3716,1084,0,0,0,3716,1084,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1232,1658,710,0,0,2890,0,710,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1235,1622,743,0,0,2857,0,743,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1220,1654,726,0,0,2874,0,726,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1238,1641,721,0,0,2879,0,721,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1241,1644,715,0,0,2885,0,715,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_lift_region,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1234,1643,723,0,0,2877,0,723,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1677,3218,1105,0,0,4895,0,1105,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1680,3201,1119,0,0,4881,0,1119,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1664,3217,1119,0,0,4881,0,1119,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1664,3217,1119,0,0,4881,0,1119,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1677,3225,1098,0,0,4902,0,1098,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,6,6,0,9600,False,0,0.0,1672,3223,1105,0,0,4895,0,1105,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,1403,1382,2015,0,0,2785,0,2015,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_recovery_edge,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,6,6,0,9600,False,0,0.0,1419,1386,1995,0,0,2805,0,1995,True,False,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_energy_build,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3825,1131,4644,0,0,4956,0,4644,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_glide_stabilise,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3821,1143,4636,0,0,4964,0,4636,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_lift_seek,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3816,1144,4640,0,0,4960,0,4640,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_safe_handoff,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3813,1147,4640,0,0,4960,0,4640,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_shallow_left,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3815,1143,4642,0,0,4958,0,4642,True,True,not_applicable_w01
W01,not_applicable_w01,launch_gate,launch_capture_shallow_right,launch_capture,launch_capable,launch_capture_from_launch_gate,6,6,9600,9600,True,0,0.0,3816,1138,4646,0,0,4954,0,4646,True,True,not_applicable_w01
