stage_name,command_run,replay_kind,candidate_variant,candidate_tag,feedback_variant,primitive_arrays_finite,run_id,scenario_id,primitive_name,selected_primitive,seed,wind_model,wind_mode,wind_param_label,latency_mode,latency_s,latency_range_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,duration_s,termination_reason,success,failure_class,primitive_family,candidate_id,is_full_turn_claim,target_heading_deg,heading_target_deg,heading_change_deg,actual_heading_change_deg,heading_error_deg,forward_travel_m,turn_volume_proxy_m2,height_change_m,terminal_speed_m_s,max_alpha_deg,max_beta_deg,max_bank_deg,min_wall_distance_m,min_floor_margin_m,min_ceiling_margin_m,saturation_time_s,time_at_full_travel_s,saturation_fraction,tracking_error_rms,exit_recoverable,fixed_start_success,feasibility_label,governor_rejection_reason,candidate_count,rejected_count,log_path,primitive_selected,max_abs_phi_deg,inside_safe_volume,log_path_relative,terminal_altitude_min_m
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],open_loop_no_latency,baseline,baseline_bank_yaw,baseline,True,turn_ocp_open_loop_no_latency_seed1,turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-28.340919907953136,-28.340919907953136,1.6590800920468638,3.9391211747651944,0.26408448420012554,-0.2922998314879748,6.28126527563462,5.091171599271425,25.224618042959428,6.759205393550006,0.25,2.4077001685120254,0.2999999999999998,0.0,0.0,0.0,0.05469926396146692,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_baseline_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,6.759205393550006,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_baseline_bank_yaw_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],closed_loop_no_latency,baseline,baseline_bank_yaw,baseline,True,turn_ocp_closed_loop_no_latency_seed1,turn_ocp_closed_loop_no_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-28.99794708681777,-28.99794708681777,1.0020529131822293,3.9169906762375346,0.28682348106318717,-0.19648755062999523,6.099363695141246,6.091722117920746,25.846599305862703,6.850618737888396,0.25,2.503512449370005,0.2999999999999998,0.0,0.0,0.0,0.06681554902339047,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_closed_baseline_bank_yaw_s001.csv,turn_ocp_left_target_030,6.850618737888396,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_closed_baseline_bank_yaw_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],open_loop_nominal_latency,baseline,baseline_bank_yaw,baseline,True,turn_ocp_open_loop_nominal_latency_seed1,turn_ocp_open_loop_nominal_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-25.286095482832,-25.286095482832,4.713904517168,3.9420676580039604,0.18979173616138917,-0.19577479984052193,6.074025715941826,5.823269993615768,23.524469574647892,6.690399912795305,0.25,2.496840059346174,0.2999999999999998,0.0,0.0,0.0,0.07665752088872489,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_latency_baseline_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,6.690399912795305,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_latency_baseline_bank_yaw_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],closed_loop_nominal_latency,baseline,baseline_bank_yaw,baseline,True,turn_ocp_closed_loop_nominal_latency_seed1,turn_ocp_closed_loop_nominal_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.48,angle of attack exceeded bound,False,model,turn_ocp,bank_yaw_seed,False,30.0,30.0,-22.76073157618267,-22.76073157618267,7.239268423817329,2.9386992930717923,0.17937615261578568,-0.035490169282510475,4.699957871930833,29.00239472124204,10.01697383087059,17.228834990920305,0.25,2.53094743581996,0.2999999999999998,0.0576,0.0576,0.04,0.2682399950690051,False,False,model_limited_high_alpha,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_latency_baseline_bank_yaw_s001.csv,turn_ocp_left_target_030,17.228834990920305,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_latency_baseline_bank_yaw_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],terminal_altitude_sensitivity,baseline,baseline_bank_yaw,baseline,,turn_recovery_terminal_altitude_0.75_seed1,turn_recovery_terminal_altitude_0.75,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.2,angle of attack exceeded bound,False,model,,,False,,,-10.123704406081488,-10.123704406081488,,1.1657811475673414,0.11718494888037631,-0.021840025179728606,5.331131192451717,28.024536023932612,26.301061801049016,19.389041965440004,0.18833581006076816,2.4926085499572324,0.47369886885094026,0.03636363636363637,0.03636363636363637,0.06060606060606061,0.22448201346657748,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery075_baseline_bank_yaw_s001.csv,recovery,19.389041965440004,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery075_baseline_bank_yaw_s001.csv,0.75
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],terminal_altitude_sensitivity,baseline,baseline_bank_yaw,baseline,,turn_recovery_terminal_altitude_1.00_seed1,turn_recovery_terminal_altitude_1.00,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.2,angle of attack exceeded bound,False,model,,,False,,,-10.123704406081488,-10.123704406081488,,1.1657811475673414,0.11718494888037631,-0.021840025179728606,5.331131192451717,28.024536023932612,26.301061801049016,19.389041965440004,0.18833581006076816,2.4926085499572324,0.47369886885094026,0.03636363636363637,0.03636363636363637,0.06060606060606061,0.22448201346657748,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery100_baseline_bank_yaw_s001.csv,recovery,19.389041965440004,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery100_baseline_bank_yaw_s001.csv,1.0
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],terminal_altitude_sensitivity,baseline,baseline_bank_yaw,baseline,,turn_recovery_terminal_altitude_1.20_seed1,turn_recovery_terminal_altitude_1.20,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.2,angle of attack exceeded bound,False,model,,,False,,,-10.123704406081488,-10.123704406081488,,1.1657811475673414,0.11718494888037631,-0.021840025179728606,5.331131192451717,28.024536023932612,26.301061801049016,19.389041965440004,0.18833581006076816,2.4926085499572324,0.47369886885094026,0.03636363636363637,0.03636363636363637,0.06060606060606061,0.22448201346657748,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery120_baseline_bank_yaw_s001.csv,recovery,19.389041965440004,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/recovery120_baseline_bank_yaw_s001.csv,1.2
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],open_loop_no_latency,baseline,baseline_bank_yaw,r110,True,turn_ocp_open_loop_no_latency_seed1,turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-28.340919907953136,-28.340919907953136,1.6590800920468638,3.9391211747651944,0.26408448420012554,-0.2922998314879748,6.28126527563462,5.091171599271425,25.224618042959428,6.759205393550006,0.25,2.4077001685120254,0.2999999999999998,0.0,0.0,0.0,0.05469926396146692,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_baseline_bank_yaw_r110_s001.csv,turn_ocp_left_target_030_open_loop,6.759205393550006,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_baseline_bank_yaw_r110_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],closed_loop_no_latency,baseline,baseline_bank_yaw,r110,True,turn_ocp_closed_loop_no_latency_seed1,turn_ocp_closed_loop_no_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-29.018337932486972,-29.018337932486972,0.9816620675130281,3.9177734291322936,0.2861683893623496,-0.19915472256956157,6.104589603499474,6.101346436825583,25.838865151356973,6.835376801736493,0.25,2.5008452774304386,0.2999999999999998,0.0,0.0,0.0,0.06620605720307973,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_closed_baseline_bank_yaw_r110_s001.csv,turn_ocp_left_target_030,6.835376801736493,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_closed_baseline_bank_yaw_r110_s001.csv,
stage3_tvlqr_variant_replay,python 03_Control/04_Scenarios/run_agile_trajectory_optimisation.py --targets 0 30 --direction left --wind-case w0 --seed 1 --run-tvlqr-replay --output-root 03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001 --phase2-overnight [stage3_tvlqr_variants],open_loop_nominal_latency,baseline,baseline_bank_yaw,r110,True,turn_ocp_open_loop_nominal_latency_seed1,turn_ocp_open_loop_nominal_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.6012417381641925,,True,none,turn_ocp,bank_yaw_seed,False,30.0,30.0,-25.286095482832,-25.286095482832,4.713904517168,3.9420676580039604,0.18979173616138917,-0.19577479984052193,6.074025715941826,5.823269993615768,23.524469574647892,6.690399912795305,0.25,2.496840059346174,0.2999999999999998,0.0,0.0,0.0,0.07665752088872489,True,True,fixed_start_feasible,,0,0,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_latency_baseline_bank_yaw_r110_s001.csv,turn_ocp_left_target_030_open_loop,6.690399912795305,True,03_Control/05_Results/03_primitives/12_tight_turn_phase2_overnight/001/logs/tvlqr_open_latency_baseline_bank_yaw_r110_s001.csv,
