scenario_id,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,desired_delta_a_cmd_rad,target_delta_a_cmd_rad,desired_delta_e_cmd_rad,target_delta_e_cmd_rad,desired_delta_r_cmd_rad,target_delta_r_cmd_rad,command_norm_a,command_norm_e,command_norm_r,delta_a_target_deg,delta_e_target_deg,delta_r_target_deg,aileron_l_deg,aileron_r_deg,elevator_deg,rudder_deg,latency_mode,latency_s,latency_range_s,onset_latency_s,vicon_latency_nominal_s,vicon_latency_p95_s,half_response_s,actuator_tau_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_model,wind_mode,wind_param_label,inside_safe_volume,min_wall_distance_m,floor_margin_m,ceiling_margin_m,inside_tracker_limit,tracker_min_wall_distance_m,tracker_floor_margin_m,tracker_ceiling_margin_m,x_margin_m,y_margin_m,tracker_x_margin_m,tracker_y_margin_m
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[0],0.0,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,0.0,-0.10060848524273196,-0.10060848524273196,0.0,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.5,0.053299466674997555,0.0,-0.10138226208841634,0.6578564029119558,none,panel,none,True,0.25,2.7,0.2999999999999998,True,1.45,2.7,0.7999999999999998,0.25,2.0000000000000004,1.45,2.4
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[1],0.02,1.5793324784471354,2.4,2.6868428719425554,-1.2528950374925971e-17,-0.048082795413525364,2.233101532564673e-18,6.490769477781156,-1.5020371985165164e-17,0.3462825238117898,-1.1724296781013818e-14,-3.6891972748460027e-11,1.986775788314596e-16,0.0,-0.10060848524273196,0.0,-0.00013083573966851035,0.0,-0.10017003423261217,-0.10060848524273196,0.00038593377606061506,0.0,0.0,-0.2,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.4999999999994555,0.05329946666355876,-2.3108264592563725e-18,-0.10138226207708413,0.6578564028386196,none,panel,none,True,0.37933247844713547,2.6868428719425554,0.31315712805744456,True,1.5793324784471354,2.6868428719425554,0.8131571280574446,0.37933247844713547,2.0000000000000004,1.5793324784471354,2.4
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[2],0.04,1.7086649568943773,2.4,2.6736857438862947,-3.8596663529523766e-16,-0.04808279541513411,2.0770164648538746e-17,6.490769477783447,-4.9886861011376805e-17,0.34628252375405005,-2.6496591672696567e-14,-1.3108949840229515e-10,1.769519094367043e-15,0.0,-0.10060848524273196,0.0,-0.0001296117069550816,0.0,-0.5235987755982988,-0.10060848524273196,0.00044088921235866524,0.0,0.0,-1.0,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998667,0.05329946665466956,-7.674901694059545e-18,-0.10138226206980366,0.6578564027914597,none,panel,none,True,0.5086649568943773,2.6736857438862947,0.32631425611370535,True,1.7086649568943773,2.6736857438862947,0.8263142561137053,0.5086649568943773,2.0000000000000004,1.7086649568943773,2.4
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[3],0.06,1.8379974353416788,2.4,2.660528615830764,-1.0059595684727714e-15,-0.048082795418807646,7.863139928956497e-17,6.4907694777855545,-3.4680446569555993e-16,0.3462825237035187,-3.4599901113360825e-14,-2.376034725063833e-10,4.069340899027613e-15,0.0,-0.10060848524273196,0.0,-0.0007412854008471467,0.0,-0.4841522059434288,-0.10060848524273196,0.0012256263656626083,0.0,0.0,-1.0,0.0,0.0,-5.764441587612767,0.0,0.0,-0.0,-5.764441587612767,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.49999999999808,0.053299466646889275,-5.335453318394806e-17,-0.10138226206569692,0.6578564027648435,none,panel,none,True,0.6379974353416789,2.660528615830764,0.33947138416923606,True,1.8379974353416788,2.660528615830764,0.8394713841692361,0.6379974353416789,2.0000000000000004,1.8379974353416788,2.4
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[4],0.08,1.96732991378901,2.4,2.647371487775582,-1.7359576686290776e-15,-0.04808279542461824,1.8484428110124438e-16,6.490769477788088,-1.0301565741038161e-15,0.34628252365719303,-3.729380674043099e-14,-3.431012886303642e-10,6.537209263406096e-15,0.0,-0.10060848524273196,0.0,-0.004486007640098284,0.0,-0.4717498434065834,-0.10471975511965978,0.004868597516527667,0.0,0.0,-1.0,0.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499999999998142,0.053299466639751596,-1.5848562678524778e-16,-0.10138226206436983,0.6578564027562681,none,panel,none,True,0.7673299137890099,2.647371487775582,0.35262851222441816,True,1.96732991378901,2.647371487775582,0.8526285122244182,0.7673299137890099,2.0000000000000004,1.96732991378901,2.4
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[5],0.1,2.096662375079375,2.4000000000345847,2.6342162128791524,-5.149856836106277e-09,-0.048105262157779355,2.670423849702959e-10,6.490761014646184,-5.848599715662865e-10,0.3458977340686843,-9.182572901402189e-07,-0.0034581462555000903,3.1265301973723165e-08,0.0,-0.10195276253081881,0.0,0.36545717994625315,0.0,-0.48583492193006494,-0.10471975511965978,0.4886921905584123,0.0,1.0,-1.0,1.0,0.0,-6.000000000000001,0.0,0.0,-0.0,-6.000000000000001,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499971060834395,0.05324042140930297,-8.997885776605422e-11,-0.10134568356708233,0.6576169350892469,none,panel,none,True,0.896662375079375,2.6342162128791524,0.3657837871208476,True,2.096662375079375,2.6342162128791524,0.8657837871208476,0.896662375079375,1.9999999999654157,2.096662375079375,2.399999999965415
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[6],0.12,2.2259946084565754,2.4000000002387942,2.6210685366699953,-3.321953819487664e-08,-0.04823730867418177,1.96353418090464e-09,6.490765762433038,-5.803457048941293e-09,0.3445839913514443,-1.9029836312567681e-06,-0.01015447901543975,1.4680287964012162e-07,0.0,-0.1028574964463318,0.0,0.3839724354387525,0.0,-0.5235987755982988,-0.5235987755982988,0.4765896839446984,0.0,1.0,-1.0,1.0,0.0,-29.999999999999996,0.0,0.0,-0.0,-29.999999999999996,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.499906023156691,0.05303855173822552,-8.928524548302367e-10,-0.1012758604124073,0.6571588382418837,none,panel,none,True,1.0259946084565754,2.6210685366699953,0.3789314633300047,True,2.2259946084565754,2.6210685366699953,0.8789314633300047,1.0259946084565754,1.9999999997612061,2.2259946084565754,2.3999999997612056
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[7],0.14,2.3553168877419988,2.4000000032952387,2.6080818204820675,-5.378826173810172e-07,-0.05042401485654293,2.8576259697699537e-08,6.488666235494027,-4.854005100477618e-08,0.3117713149425794,-6.886448353103423e-05,-0.2780674666057512,2.8357603151027334e-06,0.0,-0.24042884609152734,0.0,0.3839724354387525,0.0,-0.5235987755982988,-0.5235987755982988,0.4654358843831286,0.0,1.0,-1.0,1.0,0.0,-29.999999999999996,0.0,0.0,-0.0,-29.999999999999996,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.4961520047225845,0.04801167296524498,-7.472123646350707e-09,-0.09843568782178497,0.6384210183372012,none,panel,none,True,1.1553168877419988,2.6080818204820675,0.3919181795179325,True,2.3553168877419988,2.6080818204820675,0.8919181795179325,1.1553168877419988,1.9999999967047617,2.3553168877419988,2.399999996704761
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[8],0.16,2.48454295952501,2.400000018029199,2.5955331999462965,-2.35130573407247e-06,-0.05929547806405326,1.5636636507356175e-07,6.482256536660119,-3.23501745376698e-07,0.23508774310727767,-0.00010030175053834107,-0.5969875215325533,8.888537281783988e-06,0.0,-0.3330179770170692,0.0,0.3839724354387525,0.0,-0.45503850571020893,-0.5235987755982988,0.46873902931889716,0.0,1.0,-0.8,1.0,0.0,-29.999999999999996,0.0,0.0,-0.0,-29.999999999999996,0.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.486518022331566,0.036250456431888525,-4.9872943274489825e-08,-0.09554593449595879,0.6188178882615751,none,panel,none,True,1.28454295952501,2.5955331999462965,0.4044668000537035,True,2.399999981970801,2.5955331999462965,0.9044668000537035,1.28454295952501,1.9999999819708014,2.48454295952501,2.399999981970801
s9_search_target_120_brake_roll_yaw_recovery,agile_brake_roll_yaw_recovery_target_120_120_a,agile_reversal_ref_target_120[9],0.18,2.613562034563254,2.4000000515653626,2.5831863366559977,-4.605821155949697e-06,-0.07458898429083013,4.430770016300489e-07,6.47266230101643,-1.3582102263148733e-06,0.13692106251165712,-0.00012371335658595693,-0.9467013459735416,1.4223410465225002e-05,0.0,-0.3953328935142668,0.0,0.3839724354387525,0.3839724354387525,-0.35258554440246076,-0.5235987755982988,0.46987898267826284,0.4886921905584123,1.0,-0.6,1.0,22.0,-29.999999999999996,28.0,22.0,-22.0,-29.999999999999996,28.0,nominal,0.108,0.098000:0.118000,0.073,0.0149,0.0169,0.108,0.05049432643111373,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,6.47411033581916,0.021150592821657335,-2.09791022374201e-07,-0.09573957711322864,0.6188821212554413,none,panel,none,True,1.413562034563254,2.5831863366559977,0.41681366334400227,True,2.3999999484346373,2.5831863366559977,0.9168136633440023,1.413562034563254,1.9999999484346378,2.613562034563254,2.3999999484346373
