environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,source_validation_run_count,source_validation_run_labels,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l7_full_domain_randomisation_arena_wide,light_cluster,spatial_flow_belief_memory_h30,30,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,12,0.3,16,0.4,0,0.0,12,0.3,6,0.15,0,0.0,40,1.0,8,0.2,16,0.4,14,0.35,16,0.4,14,0.35,16,0.4,28,0.7,5,0.125,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-15.851320258591652,-45.0,1.1800000000000002,0.4050000000000001,1.6942414304679148,1.2942414304679148,4.229013900171664,0.0010900909557158146,0.3168794177811035,-1.4104620734203495,1.4115521643760653
r11_l0_dry_air_fixed,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,23,0.6216216216216216,29,0.7837837837837838,0,0.0,23,0.6216216216216216,6,0.16216216216216217,0,0.0,0,0.0,3,0.08108108108108109,5,0.13513513513513514,5,0.13513513513513514,5,0.13513513513513514,5,0.13513513513513514,29,0.7837837837837838,0,0.0,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,48.74479493462222,117.51040393374149,1.018918918918919,0.0,2.329116203267465,1.9291162032674656,11.447497637324915,0.0,0.0,-1.3914017365340918,1.3914017365340918
r11_l0_dry_air_fixed,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,43,0.8269230769230769,0,0.0,37,0.7115384615384616,6,0.11538461538461539,0,0.0,0,0.0,4,0.07692307692307693,5,0.09615384615384616,5,0.09615384615384616,5,0.09615384615384616,5,0.09615384615384616,43,0.8269230769230769,0,0.0,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,66.84106406178569,120.0,0.871153846153846,0.0,3.031362561626091,2.631362561626091,14.148756369477997,0.0,0.0,-1.466368786480846,1.466368786480846
r11_l0_dry_air_fixed,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.7741935483870968,0,0.0,7,0.22580645161290322,0,0.0,0,0.0,24,0.7741935483870968,24,0.7741935483870968,0,0.0,0,0.0,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-9.03225806451613,0.0,1.043225806451613,0.0,1.433755296315747,1.0337552963157475,0.0,0.0,0.0,-1.2233443413472878,1.2233443413472878
r11_l0_dry_air_fixed,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,5,0.125,10,0.25,0,0.0,5,0.125,5,0.125,0,0.0,0,0.0,5,0.125,25,0.625,25,0.625,25,0.625,25,0.625,10,0.25,0,0.0,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-59.56636822202431,-100.0,1.1329999999999998,0.0,1.6994121864420433,1.2994121864420434,1.6836317779756942,0.0,0.0,-1.4052913174462212,1.4052913174462212
r11_l1_single_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,27,0.7297297297297297,35,0.9459459459459459,0,0.0,27,0.7297297297297297,8,0.21621621621621623,0,0.0,0,0.0,0,0.0,2,0.05405405405405406,2,0.05405405405405406,2,0.05405405405405406,2,0.05405405405405406,35,0.9459459459459459,36,0.972972972972973,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,79.89378827835291,131.22031981231785,1.0843243243243241,0.43459459459459454,2.4950909832124974,2.0950909832124975,14.113081808099693,9.848286295929729e-06,0.3855080042264101,-1.2254269565890599,1.2254368048753557
r11_l1_single_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,41,0.7884615384615384,49,0.9423076923076923,0,0.0,41,0.7884615384615384,8,0.15384615384615385,0,0.0,0,0.0,0,0.0,3,0.057692307692307696,3,0.057692307692307696,3,0.057692307692307696,3,0.057692307692307696,49,0.9423076923076923,52,1.0,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,88.27454105258244,127.45328389750811,0.927307692307692,0.3819230769230769,3.1610846766742733,2.7610846766742734,15.76923076923077,0.0,0.3074215179352648,-1.3366466714326632,1.3366466714326632
r11_l1_single_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,0.9032258064516129,0,0.0,3,0.0967741935483871,0,0.0,0,0.0,28,0.9032258064516129,28,0.9032258064516129,0,0.0,30,0.967741935483871,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-3.870967741935484,0.0,1.3896774193548393,0.8135483870967741,1.1260538657694246,0.7260538657694249,0.0,0.0016081339441257,0.8949852181942977,-1.5310457718936104,1.532653905837736
r11_l1_single_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,15,0.375,21,0.525,0,0.0,15,0.375,6,0.15,0,0.0,0,0.0,4,0.1,15,0.375,15,0.375,15,0.375,15,0.375,21,0.525,39,0.975,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-0.4254914608935792,-50.0,1.3165000000000002,0.662,1.6017884210430835,1.2017884210430834,5.651660585648785,0.00049194624126002,0.6057788854452602,-1.5029150828451807,1.503407029086441
r11_l2_four_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,29,0.7837837837837838,36,0.972972972972973,0,0.0,29,0.7837837837837838,8,0.21621621621621623,0,0.0,0,0.0,0,0.0,1,0.02702702702702703,0,0.0,1,0.02702702702702703,0,0.0,36,0.972972972972973,37,1.0,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,98.61354509055722,138.81027337303487,1.1713513513513512,1.1416216216216217,2.6088701313473153,2.2088701313473154,15.419999137663433,0.0,0.7962473597778217,-1.111647808454242,1.111647808454242
r11_l2_four_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,47,0.9038461538461539,0,0.0,37,0.7115384615384616,13,0.25,0,0.0,0,0.0,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,47,0.9038461538461539,52,1.0,0,0.0,0,0.0,7.572313176412761,7.025729538848876,8.113857356532092,81.0522811355153,135.42099968773022,1.044230769230769,1.0223076923076921,3.2880602563927095,2.8880602563927105,14.23076923076923,0.0,0.7294494820559538,-1.2096710917142273,1.2096710917142273
r11_l2_four_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,11,0.3548387096774194,13,0.41935483870967744,0,0.0,11,0.3548387096774194,2,0.06451612903225806,12,0.3870967741935484,0,0.0,6,0.1935483870967742,0,0.0,0,0.0,12,0.3870967741935484,12,0.3870967741935484,13,0.41935483870967744,31,1.0,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,41.53860456487892,0.0,1.3735483870967744,1.3193548387096774,1.4681438567302094,1.0681438567302095,4.826932444837751,0.002514340543784213,1.1560539083618604,-1.1889557809328257,1.1914701214766101
r11_l2_four_fan_fixed_nominal,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,24,0.6,32,0.8,0,0.0,24,0.6,10,0.25,0,0.0,0,0.0,0,0.0,8,0.2,6,0.15,8,0.2,6,0.15,32,0.8,40,1.0,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,57.29860672994005,138.51940287618038,1.3279999999999998,1.294,2.0122917826389894,1.6122917826389895,10.02698480765023,0.00023585790074022,1.1112758194548444,-1.092411721249275,1.0926475791500152
r11_l3_fan_parameter_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,44,0.8461538461538461,0,0.0,37,0.7115384615384616,12,0.23076923076923078,0,0.0,0,0.0,1,0.019230769230769232,7,0.1346153846153846,2,0.038461538461538464,7,0.1346153846153846,2,0.038461538461538464,44,0.8461538461538461,52,1.0,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,76.87782058989096,132.77304222392652,1.0607692307692307,0.9469230769230769,3.2214049651213514,2.821404965121352,14.136067546998886,0.00011091382807491345,0.8102841468414064,-1.2763263829855858,1.2764372968136608
r11_l3_fan_parameter_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,25,0.6756756756756757,30,0.8108108108108109,0,0.0,25,0.6756756756756757,10,0.2702702702702703,0,0.0,0,0.0,0,0.0,7,0.1891891891891892,2,0.05405405405405406,7,0.1891891891891892,2,0.05405405405405406,30,0.8108108108108109,37,1.0,0,0.0,0,0.0,6.506391804796202,6.028526570094748,6.979864483039106,67.50423778499209,130.62849283584652,1.2129729729729732,1.092972972972973,2.45281564967286,2.052815649672861,12.45322815667155,0.004263446030096814,0.8935725028820577,-1.2677022901286967,1.2719657361587937
r11_l3_fan_parameter_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,4,0.12903225806451613,6,0.1935483870967742,0,0.0,4,0.12903225806451613,2,0.06451612903225806,14,0.45161290322580644,0,0.0,11,0.3548387096774194,0,0.0,0,0.0,14,0.45161290322580644,14,0.45161290322580644,6,0.1935483870967742,31,1.0,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,2.3822724526560837,0.0,1.3393548387096774,1.1483870967741934,1.2345100878036472,0.8345100878036474,1.9109800014494784,0.0028802651278809067,0.9564798145315316,-1.422589549859388,1.4254698149872684
r11_l3_fan_parameter_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,13,0.325,23,0.575,0,0.0,13,0.325,16,0.4,0,0.0,0,0.0,3,0.075,14,0.35,8,0.2,14,0.35,8,0.2,23,0.575,40,1.0,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-5.363478945562363,-50.0,1.4535,1.2845,1.7332838264672923,1.3332838264672924,4.665091665877503,0.003126900181733217,1.296157418356063,-1.3714196774209721,1.3745465776027053
r11_l4_local_fan_position_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,40,0.7692307692307693,47,0.9038461538461539,0,0.0,40,0.7692307692307693,9,0.17307692307692307,0,0.0,0,0.0,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,47,0.9038461538461539,52,1.0,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,91.308161566,132.84975562741533,1.0561538461538462,0.9342307692307693,3.2235933331233784,2.8235933331233776,15.284229940069158,0.00042966932366082306,0.8170344229007495,-1.2741380149835588,1.2745676843072196
r11_l4_local_fan_position_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,24,0.6486486486486487,30,0.8108108108108109,0,0.0,24,0.6486486486486487,10,0.2702702702702703,0,0.0,0,0.0,1,0.02702702702702703,6,0.16216216216216217,2,0.05405405405405406,6,0.16216216216216217,2,0.05405405405405406,30,0.8108108108108109,37,1.0,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,62.686380877618625,127.83526236462552,1.2335135135135138,1.0702702702702702,2.3675837060705422,1.967583706070542,12.105468786996237,0.0009690254032976487,0.8296172137040313,-1.3529342337310153,1.3539032591343128
r11_l4_local_fan_position_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,4,0.12903225806451613,5,0.16129032258064516,0,0.0,4,0.12903225806451613,2,0.06451612903225806,15,0.4838709677419355,0,0.0,9,0.2903225806451613,2,0.06451612903225806,0,0.0,17,0.5483870967741935,15,0.4838709677419355,5,0.16129032258064516,31,1.0,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-0.6628646819406039,0.0,1.356774193548387,1.1787096774193548,1.2102644358152737,0.8102644358152739,1.6695268269557269,0.007647984234226678,0.9642278573106456,-1.446835201847761,1.454483186081988
r11_l4_local_fan_position_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,11,0.275,20,0.5,0,0.0,11,0.275,14,0.35,0,0.0,0,0.0,3,0.075,17,0.425,11,0.275,17,0.425,11,0.275,20,0.5,40,1.0,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-18.415309760029206,-50.0,1.4380000000000002,1.2765,1.6757340100034874,1.275734010003487,4.1111230741983125,0.0007026435987230351,1.2281278779926441,-1.4289694938847775,1.4296721374835006
r11_l5_active_fan_count_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,27,0.7297297297297297,33,0.8918918918918919,0,0.0,27,0.7297297297297297,6,0.16216216216216217,0,0.0,0,0.0,1,0.02702702702702703,3,0.08108108108108109,3,0.08108108108108109,3,0.08108108108108109,3,0.08108108108108109,33,0.8918918918918919,28,0.7567567567567568,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,77.46556301167485,122.59066622313355,1.0940540540540538,0.5659459459459459,2.4358083530190946,2.0358083530190947,13.326379299801467,0.0004876485283745379,0.4052578114557486,-1.2847095867824623,1.285197235310837
r11_l5_active_fan_count_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,1,0.03225806451612903,2,0.06451612903225806,0,0.0,1,0.03225806451612903,4,0.12903225806451613,18,0.5806451612903226,0,0.0,8,0.25806451612903225,3,0.0967741935483871,0,0.0,21,0.6774193548387096,18,0.5806451612903226,2,0.06451612903225806,21,0.6774193548387096,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-16.824110263700312,0.0,1.1941935483870967,0.5909677419354838,1.3748322688519743,0.9748322688519745,0.47500502339187084,0.00010447197774193225,0.46345203224779236,-1.2822673688110604,1.2823718407888023
r11_l5_active_fan_count_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,38,0.7307692307692307,45,0.8653846153846154,0,0.0,38,0.7307692307692307,9,0.17307692307692307,0,0.0,0,0.0,2,0.038461538461538464,5,0.09615384615384616,3,0.057692307692307696,5,0.09615384615384616,3,0.057692307692307696,45,0.8653846153846154,40,0.7692307692307693,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,75.95161535708115,123.55469007010655,0.9619230769230769,0.4649999999999999,3.0872545472186648,2.6872545472186644,14.297591559233844,0.0,0.3757206446049152,-1.4104768008882724,1.4104768008882724
r11_l5_active_fan_count_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,9,0.225,18,0.45,0,0.0,9,0.225,12,0.3,0,0.0,0,0.0,4,0.1,18,0.45,14,0.35,18,0.45,14,0.35,18,0.45,30,0.75,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-30.60890957039903,-50.0,1.288,0.6465,1.6556689876121993,1.2556689876121994,3.2697414376171294,0.0034629734872598274,0.5887957853927379,-1.4490345162760652,1.452497489763325
r11_l6_environment_only_full_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,25,0.6756756756756757,31,0.8378378378378378,0,0.0,25,0.6756756756756757,7,0.1891891891891892,0,0.0,0,0.0,0,0.0,6,0.16216216216216217,5,0.13513513513513514,6,0.16216216216216217,5,0.13513513513513514,31,0.8378378378378378,30,0.8108108108108109,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,63.259295537434205,123.55882652408592,1.1167567567567567,0.5918918918918918,2.3731347941413126,1.9731347941413124,12.265847333240371,0.0005619267944709567,0.4503937410299165,-1.3473831456602448,1.3479450724547157
r11_l6_environment_only_full_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,2,0.06451612903225806,3,0.0967741935483871,0,0.0,2,0.06451612903225806,2,0.06451612903225806,17,0.5483870967741935,0,0.0,10,0.3225806451612903,1,0.03225806451612903,0,0.0,18,0.5806451612903226,17,0.5483870967741935,3,0.0967741935483871,22,0.7096774193548387,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-9.279372744750914,0.0,1.205806451612903,0.567741935483871,1.3395880657559567,0.9395880657559567,0.48407046147728083,0.0036944474884952967,0.46458640244659294,-1.317511571907078,1.3212060193955733
r11_l6_environment_only_full_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,34,0.6538461538461539,40,0.7692307692307693,0,0.0,34,0.6538461538461539,7,0.1346153846153846,0,0.0,0,0.0,4,0.07692307692307693,8,0.15384615384615385,6,0.11538461538461539,8,0.15384615384615385,6,0.11538461538461539,40,0.7692307692307693,39,0.75,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,59.14250578860252,120.9786243453847,0.9849999999999999,0.5003846153846154,3.053729891043778,2.653729891043778,12.939813920380905,0.0,0.36187922559662505,-1.4440014570631592,1.4440014570631592
r11_l6_environment_only_full_uncertainty,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,8,0.2,16,0.4,0,0.0,8,0.2,12,0.3,0,0.0,0,0.0,3,0.075,21,0.525,17,0.425,21,0.525,17,0.425,16,0.4,31,0.775,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-39.746798388752424,-100.0,1.2830000000000001,0.6625000000000001,1.6743346254925124,1.2743346254925125,2.7929537272011418,0.007953070629628477,0.6075934142876113,-1.4303688783957518,1.4383219490253805
r11_l7_full_domain_randomisation_arena_wide,super_light_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,19,0.5135135135135135,26,0.7027027027027027,0,0.0,19,0.5135135135135135,9,0.24324324324324326,0,0.0,0,0.0,0,0.0,11,0.2972972972972973,9,0.24324324324324326,11,0.2972972972972973,9,0.24324324324324326,26,0.7027027027027027,24,0.6486486486486487,0,0.0,0,0.0,6.506391804796202,6.028526570094748,6.979864483039106,26.922683082470897,116.65350224728196,1.1632432432432431,0.46918918918918917,2.206773744381116,1.8067737443811163,9.935208064142618,0.005605839828122611,0.4047417626882398,-1.5137441954204411,1.5193500352485638
r11_l7_full_domain_randomisation_arena_wide,super_light_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,43,0.8269230769230769,0,0.0,37,0.7115384615384616,6,0.11538461538461539,0,0.0,0,0.0,1,0.019230769230769232,8,0.15384615384615385,8,0.15384615384615385,8,0.15384615384615385,8,0.15384615384615385,43,0.8269230769230769,34,0.6538461538461539,0,0.0,0,0.0,7.572313176412759,7.025729538848876,8.113857356532092,67.07512153196339,120.0314240640966,0.9173076923076923,0.2734615384615384,3.0257161514324906,2.6257161514324903,14.092067530569018,0.004346638007400859,0.23381485583090975,-1.472015196674447,1.4763618346818483
r11_l7_full_domain_randomisation_arena_wide,super_light_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03225806451612903,21,0.6774193548387096,0,0.0,7,0.22580645161290322,3,0.0967741935483871,0,0.0,24,0.7741935483870968,21,0.6774193548387096,0,0.0,18,0.5806451612903226,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-18.70967741935484,0.0,1.252258064516129,0.5238709677419354,1.3014688466508633,0.9014688466508637,0.0,0.007458238780899258,0.6252607061663974,-1.3556307910121708,1.3630890297930705
r11_l7_full_domain_randomisation_arena_wide,super_light_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,11,0.275,16,0.4,0,0.0,11,0.275,6,0.15,0,0.0,0,0.0,5,0.125,19,0.475,18,0.45,19,0.475,18,0.45,16,0.4,27,0.675,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-23.56905710987286,-50.0,1.2429999999999999,0.43800000000000006,1.5515453546285465,1.1515453546285463,3.9881977721887183,0.0011939421350172425,0.385306604149405,-1.553158149259718,1.5543520913947353
