episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,paired_schedule_version,claim_status
v49_r001_no_memory_baseline_p00000_rep00,0,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,no_memory_baseline,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00000_rep00,1,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,static_map_baseline,0.8,True,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00000_rep00,2,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,context_only_without_memory,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00000_rep00,3,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,context_plus_memory_lambda_0_5,0.5,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00000_rep00,4,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,context_plus_memory_lambda_0_8,0.8,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_95_p00000_rep00,5,0,0,v410_run001_seed00511_r00_e00000,511011,1022017,context_plus_memory_lambda_0_95,0.95,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_no_memory_baseline_p00001_rep00,6,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,no_memory_baseline,0.0,False,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00001_rep00,7,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,static_map_baseline,0.8,True,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00001_rep00,8,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,context_only_without_memory,0.0,False,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00001_rep00,9,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,context_plus_memory_lambda_0_5,0.5,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00001_rep00,10,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,context_plus_memory_lambda_0_8,0.8,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_95_p00001_rep00,11,1,0,v410_run001_seed00511_r00_e00001,511048,1022058,context_plus_memory_lambda_0_95,0.95,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_no_memory_baseline_p00002_rep00,12,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,no_memory_baseline,0.0,False,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00002_rep00,13,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,static_map_baseline,0.8,True,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00002_rep00,14,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,context_only_without_memory,0.0,False,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00002_rep00,15,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,context_plus_memory_lambda_0_5,0.5,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00002_rep00,16,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,context_plus_memory_lambda_0_8,0.8,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_95_p00002_rep00,17,2,0,v410_run001_seed00511_r00_e00002,511085,1022099,context_plus_memory_lambda_0_95,0.95,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_no_memory_baseline_p00003_rep00,18,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,no_memory_baseline,0.0,False,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00003_rep00,19,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,static_map_baseline,0.8,True,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00003_rep00,20,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,context_only_without_memory,0.0,False,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00003_rep00,21,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,context_plus_memory_lambda_0_5,0.5,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00003_rep00,22,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,context_plus_memory_lambda_0_8,0.8,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_95_p00003_rep00,23,3,0,v410_run001_seed00511_r00_e00003,511122,1022140,context_plus_memory_lambda_0_95,0.95,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_no_memory_baseline_p00004_rep00,24,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,no_memory_baseline,0.0,False,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00004_rep00,25,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,static_map_baseline,0.8,True,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00004_rep00,26,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_only_without_memory,0.0,False,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00004_rep00,27,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_5,0.5,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00004_rep00,28,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_8,0.8,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_95_p00004_rep00,29,4,0,v410_run001_seed00511_r00_e00004,511159,1022181,context_plus_memory_lambda_0_95,0.95,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_no_memory_baseline_p00005_rep00,30,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,no_memory_baseline,0.0,False,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_static_map_baseline_p00005_rep00,31,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,static_map_baseline,0.8,True,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_only_without_memory_p00005_rep00,32,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_only_without_memory,0.0,False,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_5_p00005_rep00,33,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_5,0.5,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
v49_r001_context_plus_memory_lambda_0_8_p00005_rep00,34,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_8,0.8,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule
