parameter,value,applied_to_replay,description
post_stall_surface_replay_scale,0,True,Train-replay-selected multiplier applied to all fitted alpha-RBF post-stall surface coefficients.
attached_cm_bias_coeff,0,False,Attached-regime Cm residual. Report-only by default.
transition_cm_bias_coeff,0,False,All-transition aggregate Cm diagnostic. Not applied to replay.
transition_before_post_stall_cm_bias_coeff,0,False,Transition Cm diagnostic before first post-stall exposure in each throw.
transition_after_post_stall_cm_bias_coeff,0,False,Transition Cm diagnostic after the throw has already entered post-stall.
post_stall_lift_residual_coeff,0,False,Legacy scalar CL residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_drag_residual_coeff,0,False,Legacy scalar CD residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_moment_coeff,0,False,Legacy scalar Cm residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_damping_coeff,0,True,Positive-AoA Cmq-style residual using q_hat = q c / (2V). Opt-in because it is derivative-sensitive.
post_stall_residual_blend_start_alpha_deg,12,True,Residual activation start alpha fitted after attached and post-stall coefficients.
post_stall_residual_blend_full_alpha_deg,20,True,Residual activation full-alpha point fitted from transition behaviour while preserving post-stall full activation.
post_stall_lift_rbf_20_coeff,0,True,Neutral post-stall CL residual alpha-RBF coefficient at 20 deg AoA.
post_stall_lift_rbf_45_coeff,0,True,Neutral post-stall CL residual alpha-RBF coefficient at 45 deg AoA.
post_stall_lift_rbf_70_coeff,0,True,Neutral post-stall CL residual alpha-RBF coefficient at 70 deg AoA.
post_stall_drag_rbf_20_coeff,0,True,Neutral post-stall CD residual alpha-RBF coefficient at 20 deg AoA.
post_stall_drag_rbf_45_coeff,0,True,Neutral post-stall CD residual alpha-RBF coefficient at 45 deg AoA.
post_stall_drag_rbf_70_coeff,0,True,Neutral post-stall CD residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_moment_rbf_20_coeff,0,True,Neutral post-stall Cm residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_moment_rbf_45_coeff,0,True,Neutral post-stall Cm residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_moment_rbf_70_coeff,0,True,Neutral post-stall Cm residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_damping_rbf_20_coeff,0,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_damping_rbf_45_coeff,0,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_damping_rbf_70_coeff,0,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 70 deg AoA.
post_stall_side_force_bias_rbf_20_coeff,0,True,Neutral post-stall CY residual coefficient multiplying bias at 20 deg AoA.
post_stall_side_force_bias_rbf_45_coeff,0,True,Neutral post-stall CY residual coefficient multiplying bias at 45 deg AoA.
post_stall_side_force_bias_rbf_70_coeff,0,True,Neutral post-stall CY residual coefficient multiplying bias at 70 deg AoA.
post_stall_side_force_beta_rbf_20_coeff,0,True,Neutral post-stall CY residual coefficient multiplying beta at 20 deg AoA.
post_stall_side_force_beta_rbf_45_coeff,0,True,Neutral post-stall CY residual coefficient multiplying beta at 45 deg AoA.
post_stall_side_force_beta_rbf_70_coeff,0,True,Neutral post-stall CY residual coefficient multiplying beta at 70 deg AoA.
post_stall_side_force_p_hat_rbf_20_coeff,0,True,Neutral post-stall CY residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_side_force_p_hat_rbf_45_coeff,0,True,Neutral post-stall CY residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_side_force_p_hat_rbf_70_coeff,0,True,Neutral post-stall CY residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_side_force_r_hat_rbf_20_coeff,0,True,Neutral post-stall CY residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_side_force_r_hat_rbf_45_coeff,0,True,Neutral post-stall CY residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_side_force_r_hat_rbf_70_coeff,0,True,Neutral post-stall CY residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_roll_moment_bias_rbf_20_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying bias at 20 deg AoA.
post_stall_roll_moment_bias_rbf_45_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying bias at 45 deg AoA.
post_stall_roll_moment_bias_rbf_70_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying bias at 70 deg AoA.
post_stall_roll_moment_beta_rbf_20_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying beta at 20 deg AoA.
post_stall_roll_moment_beta_rbf_45_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying beta at 45 deg AoA.
post_stall_roll_moment_beta_rbf_70_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying beta at 70 deg AoA.
post_stall_roll_moment_p_hat_rbf_20_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_roll_moment_p_hat_rbf_45_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_roll_moment_p_hat_rbf_70_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_roll_moment_r_hat_rbf_20_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_roll_moment_r_hat_rbf_45_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_roll_moment_r_hat_rbf_70_coeff,0,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_yaw_moment_bias_rbf_20_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying bias at 20 deg AoA.
post_stall_yaw_moment_bias_rbf_45_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying bias at 45 deg AoA.
post_stall_yaw_moment_bias_rbf_70_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying bias at 70 deg AoA.
post_stall_yaw_moment_beta_rbf_20_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying beta at 20 deg AoA.
post_stall_yaw_moment_beta_rbf_45_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying beta at 45 deg AoA.
post_stall_yaw_moment_beta_rbf_70_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying beta at 70 deg AoA.
post_stall_yaw_moment_p_hat_rbf_20_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_yaw_moment_p_hat_rbf_45_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_yaw_moment_p_hat_rbf_70_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_yaw_moment_r_hat_rbf_20_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_yaw_moment_r_hat_rbf_45_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_yaw_moment_r_hat_rbf_70_coeff,0,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 70 deg AoA.
