timestamp_utc,stage_id,check_id,passed,observed,required
2026-05-30T01:41:39.986173+00:00,R5,stage_status_not_diagnostic,True,complete,complete
2026-05-30T01:41:39.986173+00:00,R5,method_evidence_level_w01_dense,True,w01_dense_evidence_complete,w01_dense_evidence_complete
2026-05-30T01:41:39.986173+00:00,R5,w01_dense_evidence_complete_true,True,True,True
2026-05-30T01:41:39.986173+00:00,R5,actual_row_count_active_dense_target,True,102400,102400
2026-05-30T01:41:39.986173+00:00,R5,candidate_count_32,True,32,32
2026-05-30T01:41:39.986173+00:00,R5,paired_tests_per_candidate_50,True,50,50
2026-05-30T01:41:39.986173+00:00,R5,active_primitive_count_8,True,8,8
2026-05-30T01:41:39.986173+00:00,R5,retired_launch_capture_not_active,True,False,False
2026-05-30T01:41:39.986173+00:00,R5,r5_launch_aware_decision_passed_for_review,True,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW
2026-05-30T01:41:39.990217+00:00,R5,launch_gate_candidate_availability_audit,False,audit,passed
2026-05-30T01:41:39.990217+00:00,R5,w3_replay_only,True,True,True
2026-05-30T01:41:39.990217+00:00,R5,w2_not_required_for_move_on,True,False,False
2026-05-30T01:41:39.990217+00:00,R5,r6_archived_diagnostic_only,True,True,True
2026-05-30T01:41:39.990217+00:00,R5,no_clustering_before_w3,True,True,True
2026-05-30T01:41:39.990217+00:00,R5,selected_worker_count_8,True,8,8
2026-05-30T01:41:39.990217+00:00,R5,frozen_bundle_exists,True,03_Control/05_Results/R5_dense/B02/manifests/frozen_w01_controller_bundle.json,exists
2026-05-30T01:41:39.991216+00:00,R5,table_manifest_exists,True,03_Control/05_Results/R5_dense/B02/manifests/table_manifest.json,exists
2026-05-30T01:41:40.037375+00:00,R5,no_generated_file_above_100mb,True,73.96,<=100.0
2026-05-30T01:49:59.987346+00:00,R5,stage_status_not_diagnostic,True,complete,complete
2026-05-30T01:49:59.987346+00:00,R5,method_evidence_level_w01_dense,True,w01_dense_evidence_complete,w01_dense_evidence_complete
2026-05-30T01:49:59.987346+00:00,R5,w01_dense_evidence_complete_true,True,True,True
2026-05-30T01:49:59.987346+00:00,R5,actual_row_count_active_dense_target,True,102400,102400
2026-05-30T01:49:59.987346+00:00,R5,candidate_count_32,True,32,32
2026-05-30T01:49:59.987346+00:00,R5,paired_tests_per_candidate_50,True,50,50
2026-05-30T01:49:59.987346+00:00,R5,active_primitive_count_8,True,8,8
2026-05-30T01:49:59.987346+00:00,R5,retired_launch_capture_not_active,True,False,False
2026-05-30T01:49:59.987346+00:00,R5,r5_launch_aware_decision_passed_for_review,True,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW,R5_TRANSITION_AWARE_DENSE_PASSED_FOR_REVIEW
2026-05-30T01:50:00.002878+00:00,R5,launch_gate_candidate_availability_audit,True,audit,passed
2026-05-30T01:50:00.002878+00:00,R5,w3_replay_only,True,True,True
