library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,16
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,16
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,16
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,16
heavy_cluster,no_memory_baseline,final_heldout,,7
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,7
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,7
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,7
light_cluster,no_memory_baseline,final_heldout,,20
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,20
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,20
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,20
no_cluster_no_merge,no_memory_baseline,final_heldout,,71
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,72
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,71
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,71
super_light_cluster,no_memory_baseline,final_heldout,,42
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,42
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,42
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,42
