coverage_axis,value,row_count
w2_survival_status,blocked,23040
w2_survival_status,downgraded,2560
w2_survival_status,eliminated,4480
w2_survival_status,survived,21120
failure_label,entry_role_not_launch_capable,23040
failure_label,model_boundary_only,10880
failure_label,speed_low,384
failure_label,success,10240
failure_label,terminal_recovery_limited,3584
failure_label,xy_boundary_terminal,3072
boundary_use_class,blocked,23040
boundary_use_class,continuation_valid,21120
boundary_use_class,episode_terminal_useful,2560
boundary_use_class,hard_failure,4480
environment_mode,annular_gp_four,25600
environment_mode,annular_gp_single,25600
start_state_family,inflight_boundary_near,5120
start_state_family,inflight_lift_region,7680
start_state_family,inflight_nominal,12800
start_state_family,inflight_recovery_edge,5120
start_state_family,launch_gate,20480
timing_state_source,history_backed_fifo,28160
timing_state_source,not_evaluated_blocked_before_rollout,23040
